TWA\TWS,0,6,10,14,18,20,24,30,35,40,55
0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0
60,0,2.76,4.01,4.2,4.2,4.34,3.02,2.24,1.43,1.18,1.13
65,0,3.34,4.92,5.21,5.37,5.46,4.11,3.35,2.48,2.28,2.18
70,0,3.44,5.29,5.47,5.72,5.85,4.97,4.83,3.53,3.24,3.09
80,0,3.43,5.76,5.93,6.21,6.32,6.13,6.03,4.78,4.1,3.91
90,0,3.47,6.17,6.34,6.79,6.78,6.7,6.63,5.26,4.57,4.36
100,0,3.37,6.4,6.6,7.08,7.275,6.99,6.94,5.54,4.77,4.54
110,0,3.27,6.32,6.7,7.247,7.52,7.23,6.98,5.83,4.95,4.72
120,0,3.06,6.03,6.57,7.203,7.52,7.6,7.18,6.09,5.05,4.81
130,0,2.8,5.53,6.43,7.077,7.4,7.6,7.24,6.28,5.17,4.94
140,0,2.62,5.06,6.21,6.763,7.11,7.65,7.38,6.45,5.34,5.09
150,0,2.45,4.66,6.11,6.52,7.07,7.55,7.3,6.4,5.6,5.34
160,0,2.28,4.07,5.84,6.37,6.97,7.45,7.27,6.31,5.62,5.36
170,0,2.02,3.59,5.36,5.8,6.4,7.04,7,6.09,5.39,5.21
180,0,1.73,3.18,4.9,5.35,5.92,6.65,6.73,5.86,5.15,4.66
