TWA\TWS,0,6,10,14,18,20,24,30,35,40,55
0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0
60,0,2.76,4.01,4.2,4.2,4.34,3.02,2.24,1.43,1.18,1.13
65,0,3.34,4.92,5.21,5.37,5.46,4.11,3.35,2.48,2.28,2.18
70,0,3.44,5.29,5.47,5.72,5.85,4.97,4.83,3.53,3.24,3.09
80,0,3.43,5.76,6.072,6.458,6.573,6.375,6.271,4.971,4.1,3.91
90,0,3.37,6.01,6.349,6.864,7.051,6.968,6.895,5.47,4.57,4.36
100,0,3.27,6.21,6.554,7.145,7.384,7.27,7.218,5.762,4.77,4.54
110,0,3.17,6.13,6.656,7.311,7.582,7.467,7.249,6.063,4.95,4.72
120,0,3.01,5.9,6.523,7.27,7.582,7.665,7.27,6.167,5.05,4.81
130,0,2.8,5.53,6.482,7.134,7.467,7.665,7.301,6.344,5.17,4.94
140,0,2.62,5.06,6.359,6.947,7.394,7.748,7.457,6.531,5.34,5.09
150,0,2.45,4.66,6.257,6.781,7.353,7.852,7.561,6.562,5.6,5.34
160,0,2.28,4.07,5.98,6.625,7.249,7.748,7.561,6.562,5.62,5.36
170,0,2.02,3.59,5.36,5.8,6.4,7.04,7,6.09,5.39,5.21
180,0,1.73,3.18,4.9,5.35,5.92,6.65,6.73,5.86,5.15,4.66
