TWA\TWS,0,4,6,8,10,12,14,16,20,25,32,40,50,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,1.88,3.06,4.04,4.83,5.41,5.75,5.95,6.06,3.7,3.97,3.29,2.42,1.16
36,0,2.37,3.62,4.67,5.47,6.02,6.2,6.44,6.45,6.6,6.31,5.98,4.25,2.24
40,0,2.76,4.11,5.2,5.97,6.51,6.76,6.92,6.94,7.06,6.74,6.38,4.53,2.39
45,0,3.19,4.64,5.74,6.49,6.95,7.12,7.28,7.28,7.35,7,6.6,4.66,2.45
52,0,3.68,5.24,6.34,7,7.36,7.4,7.56,7.54,7.68,7.3,6.87,4.86,2.52
60,0,4.11,5.71,6.82,7.36,7.64,7.85,7.9,7.86,8.02,7.64,7.21,5.1,2.61
70,0,4.34,5.94,6.97,7.48,7.74,7.83,8,8.14,8.34,7.96,7.53,5.34,2.67
80,0,4.48,6.08,7.05,7.58,7.9,8.01,8.15,8.41,8.64,8.26,7.83,5.56,2.75
90,0,4.58,6.31,7.25,7.64,7.97,8.15,8.35,8.63,8.89,8.37,7.92,5.64,2.86
100,0,4.68,6.38,7.3,7.79,8.08,8.18,8.44,8.89,9.07,8.6,8.26,5.88,2.93
110,0,4.58,6.26,7.24,7.8,8.19,8.34,8.54,8.91,9.28,8.67,8.38,5.98,3.01
120,0,4.43,6.14,7.26,7.89,8.24,8.39,8.73,9.11,9.51,9.14,8.54,6.09,3.13
130,0,4,5.68,6.9,7.62,8.14,8.46,8.9,9.43,9.92,9.54,9.07,6.37,3.26
140,0,3.44,5.05,6.34,7.22,7.8,8.15,8.34,9.15,10.36,9.95,9.49,6.72,3.4
150,0,2.89,4.34,5.6,6.65,7.37,7.75,7.7,8.47,9.9,9.5,9.03,6.48,3.25
160,0,2.44,3.69,4.86,5.9,6.79,7.3,7.19,8.05,9.39,9,8.56,6.15,3.06
170,0,2.19,3.32,4.41,5.42,6.34,6.92,6.77,7.82,9.07,8.71,8.3,5.8,2.93
180,0,2.07,3.14,4.19,5.17,6.06,6.75,6.36,7.66,8.84,8.5,8.11,5.5,2.84
