TWA\TWS,0,4,6,8,10,12,14,16,20,25,32,40,50,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,1.82,2.97,3.92,4.69,5.25,5.58,5.77,6.25,3.81,4.095,3.39,2.54,1.26
36,0,2.3,3.51,4.53,5.31,5.84,6.01,6.25,6.65,6.8,6.506,6.17,4.46,2.43
40,0,2.68,3.99,5.04,5.79,6.31,6.56,6.71,7.15,7.28,6.953,6.58,4.75,2.59
45,0,3.09,4.5,5.57,6.3,6.74,6.91,7.06,7.5,7.58,7.216,6.8,4.89,2.66
52,0,3.57,5.08,6.15,6.79,7.14,7.18,7.33,7.77,7.92,7.528,7.08,5.1,2.74
60,0,3.99,5.54,6.62,7.14,7.41,7.61,7.66,8.1,8.27,7.878,7.43,5.35,2.83
70,0,4.32,5.91,6.93,7.43,7.69,7.78,7.95,8.39,8.6,8.21,7.76,5.6,2.9
80,0,4.48,6.08,7.05,7.58,7.9,8.01,8.15,8.41,8.91,8.52,8.07,5.83,2.98
90,0,4.58,6.31,7.25,7.64,7.97,8.15,8.35,8.63,9.17,8.63,8.17,5.91,3.1
100,0,4.68,6.38,7.3,7.79,8.08,8.18,8.44,8.89,9.16,8.87,8.52,6.16,3.185
110,0,4.58,6.26,7.24,7.8,8.19,8.34,8.54,8.91,9.28,8.94,8.64,6.27,3.27
120,0,4.3,5.96,7.04,7.66,8.13,8.39,8.73,9.11,9.51,9.14,8.8,6.39,3.395
130,0,3.88,5.51,6.69,7.39,7.9,8.21,8.74,9.72,10.14,9.54,9.25,6.68,3.54
140,0,3.34,4.9,6.15,7,7.57,7.91,8.21,9.43,10.68,10.26,9.78,6.97,3.69
150,0,2.8,4.21,5.43,6.45,7.15,7.52,7.55,8.73,10.21,9.79,9.31,6.79,3.53
160,0,2.37,3.58,4.71,5.72,6.59,7.08,7.02,8.2,9.68,9.279,8.82,6.45,3.32
170,0,2.12,3.22,4.28,5.26,6.15,6.71,6.6,7.83,9.35,8.981,8.56,6.23,3.18
180,0,2.01,3.05,4.06,5.01,5.88,6.55,6.28,7.43,9.11,8.76,8.36,6.08,3.08
