TWA\TWS,0,4,6,8,10,12,14,16,20,25,32,40,50,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,1.825,2.979,3.932,4.704,5.266,5.597,5.787,6.078,3.711,3.982,3.3,2.427,1.163
36,0,2.307,3.521,4.544,5.326,5.858,6.028,6.269,6.469,6.62,6.329,5.998,4.263,2.247
40,0,2.688,4.002,5.055,5.807,6.329,6.58,6.73,6.961,7.081,6.76,6.399,4.544,2.397
45,0,3.099,4.513,5.587,6.319,6.76,6.931,7.081,7.302,7.372,7.021,6.62,4.674,2.457
52,0,3.581,5.095,6.168,6.81,7.161,7.202,7.352,7.563,7.703,7.322,6.891,4.875,2.528
60,0,4.002,5.557,6.64,7.161,7.432,7.633,7.683,7.884,8.044,7.663,7.232,5.115,2.618
70,0,4.333,5.928,6.951,7.452,7.713,7.803,7.974,8.164,8.365,7.984,7.553,5.356,2.678
80,0,4.493,6.098,7.071,7.603,7.924,8.034,8.174,8.435,8.666,8.285,7.853,5.577,2.758
90,0,4.594,6.329,7.272,7.663,7.994,8.174,8.375,8.656,8.917,8.395,7.944,5.657,2.869
100,0,4.694,6.399,7.322,7.813,8.104,8.205,8.465,8.917,9.097,8.626,8.285,5.898,2.939
110,0,4.594,6.279,7.262,7.823,8.215,8.365,8.566,8.937,9.308,8.696,8.405,5.998,3.019
120,0,4.313,5.978,7.061,7.683,8.154,8.415,8.756,9.137,9.539,9.167,8.566,6.108,3.139
130,0,3.892,5.527,6.71,7.412,7.924,8.235,8.656,9.458,9.95,9.569,9.097,6.389,3.27
140,0,3.35,4.915,6.168,7.021,7.593,7.934,8.114,9.177,10.391,9.98,9.518,6.74,3.41
150,0,2.808,4.223,5.446,6.469,7.171,7.543,7.492,8.495,9.93,9.528,9.057,6.499,3.26
160,0,2.377,3.591,4.724,5.737,6.61,7.101,6.991,7.974,9.418,9.027,8.586,6.168,3.069
170,0,2.126,3.23,4.293,5.276,6.168,6.73,6.59,7.623,9.097,8.736,8.325,5.817,2.939
180,0,2.016,3.059,4.072,5.025,5.898,6.57,6.189,7.452,8.867,8.525,8.134,5.516,2.849
