TWA\TWS,0,4,8,12,16,20,25,30,35,40,70
0,0,0,0,0,0,0,0,0,0,0,0
30,0,1.03,2.47,3.49,3.76,3.84,3.59,3.22,3.22,1.69,0
35,0,1.28,3.06,4.31,4.64,4.73,4.42,3.97,3.97,2.16,0.17
40,0,1.56,3.73,5.26,5.67,5.79,5.4,4.85,4.85,2.75,0.44
45,0,1.92,4.53,6.07,6.53,6.61,6.3,5.72,5.72,3.34,0.71
50,0,2.29,5.34,6.5,6.99,7.17,7.07,6.53,6.53,3.75,0.91
60,0,2.8,5.77,6.89,7.61,8.03,8.47,8.18,8.18,4.87,1.28
70,0,2.95,5.81,7.12,8.16,8.59,9.71,9.56,9.56,5.69,1.54
80,0,3.02,5.93,7.38,8.78,9.45,10.76,10.89,10.89,6.57,1.75
90,0,3.01,6.12,7.71,9.41,10.54,11.63,11.98,11.98,7.25,2.01
100,0,3.01,6.4,8.05,10.12,11.46,12.44,13.02,13.02,7.88,2.29
110,0,2.98,6.48,8.17,10.82,12.25,13.28,13.75,13.75,8.38,2.47
120,0,2.84,6.41,8.09,10.59,13.11,14.08,14.63,14.71,8.97,2.7
130,0,2.35,6.01,7.92,10.3,12.95,14.67,15.75,15.84,9.66,2.96
140,0,1.65,5.1,7.38,9.57,11.83,14.63,15.79,15.79,9.68,2.95
150,0,0.98,4.09,6.43,8.69,10.77,13.5,14.65,14.65,8.99,2.74
160,0,0.46,2.39,4.27,7.05,8.8,11.54,12.69,12.69,7.7,2.18
170,0,0.12,0.64,1.29,4.15,6.14,7.87,9.1,8.73,5.64,1.51
180,0,0.08,0.45,1.07,1.93,3.45,4.85,5.82,5.82,4.05,0.92
