TWA\TWS,0,4,8,12,16,20,25,30,35,40,70
0,0,0,0,0,0,0,0,0,0,0,0
30,0,1.07,2.55,3.6,3.89,3.84,3.59,3.22,3.22,1.69,0
35,0,1.32,3.15,4.44,4.8,4.73,4.42,3.97,3.97,2.16,0.17
40,0,1.61,3.85,5.42,5.87,5.79,5.4,4.85,4.85,2.75,0.44
45,0,1.99,4.67,6.26,6.76,6.61,6.3,5.72,5.72,3.34,0.71
50,0,2.37,5.51,6.7,7.24,7.17,7.07,6.53,6.53,3.75,0.91
60,0,2.9,5.95,7.1,7.88,8.03,8.47,8.18,8.18,4.87,1.28
70,0,2.98,5.85,7.16,8.25,8.59,9.71,9.56,9.56,5.69,1.54
80,0,3.02,5.93,7.38,8.78,9.45,10.76,10.89,10.89,6.57,1.75
90,0,3.01,6.12,7.71,9.41,10.54,11.63,11.98,11.98,7.25,2.01
100,0,3.01,6.4,8.05,10.12,11.46,12.44,13.02,13.02,7.88,2.29
110,0,3.03,6.48,8.17,10.82,12.25,13.28,13.75,13.75,8.38,2.47
120,0,2.94,6.61,8.2,10.59,13.11,14.08,14.63,14.71,8.97,2.7
130,0,2.43,6.2,8.17,10.66,13.02,14.67,15.75,15.84,9.66,2.96
140,0,1.71,5.26,7.61,9.91,11.92,14.63,15.79,15.79,9.68,2.95
150,0,1.01,4.22,6.63,9,10.85,13.5,14.65,14.65,8.99,2.74
160,0,0.48,2.46,4.4,7.3,8.87,11.54,12.69,12.69,7.7,2.18
170,0,0.12,0.66,1.33,4.3,6.14,7.87,9.1,8.73,5.64,1.51
180,0,0.08,0.46,1.1,2,3.45,4.85,5.82,5.82,4.05,0.92
