TWA\TWS,0,2,4,5,6,7,8,9,10,12,14,16,18,20,22,24,25,26,28,30,32,34,35,36,37,38,39,40,41,42,44,46,48,50,60,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1.11,1.608,2.094,1.851,2.464,3.574,2.198,5.552,7.403,7.403,7.033,8.814,9.288,9.288,8.016,8.907,7.38,5.853,5.853,6.489,6.235,5.876,5.645,4.974,4.754,4.442,4.384,4.141,4.048,3.759,3.563,3.285,3.019,2.001,1.087
35,0,1.481,2.094,2.591,2.348,3.574,4.442,3.806,6.79,9.138,8.641,8.768,10.329,10.942,10.942,9.543,10.306,8.907,8.27,8.398,7.958,7.646,7.264,6.998,6.183,5.841,5.494,5.633,5.147,5.078,4.696,4.453,4.095,3.736,2.614,1.446
40,0,1.747,2.591,3.204,3.331,4.754,5.922,6.605,8.27,10.734,10.121,10.619,11.463,12.342,12.342,10.942,11.96,10.433,10.688,10.688,9.67,9.416,8.883,8.941,8.294,8.004,7.507,7.241,7.067,6.801,6.385,6.061,5.564,5.089,3.401,1.851
45,0,2.059,3.204,3.829,4.314,6.547,7.773,8.386,10.364,12.099,11.602,11.602,12.515,13.487,13.487,12.596,13.487,12.088,12.342,12.469,11.266,10.942,10.26,10.393,9.728,9.392,8.907,8.606,8.311,7.993,7.507,7.091,6.524,5.969,4.014,2.186
50,0,2.394,3.574,4.569,5.679,7.657,8.768,9.207,11.104,12.585,12.342,12.342,13.256,14.216,14.401,14.632,14.887,14.123,13.742,13.718,12.863,12.481,11.764,11.856,11.382,10.919,10.468,10.133,9.797,9.462,8.918,8.375,7.704,7.079,4.685,2.533
55,0,2.591,3.944,5.182,6.292,8.143,9.138,9.855,11.798,13.013,12.874,13.024,14.077,14.887,15.303,15.65,16.229,15.65,14.632,14.759,13.834,13.528,12.805,12.99,12.411,11.845,11.428,11.058,10.711,10.352,9.763,9.173,8.513,7.796,5.182,2.799
60,0,2.637,4.199,5.679,6.663,8.513,9.554,10.376,12.226,13.429,13.267,13.834,14.991,15.65,16.315,16.795,17.177,16.668,15.523,15.864,15.06,14.725,13.985,14.227,13.643,13.001,12.359,11.983,11.59,11.139,10.514,9.982,9.23,8.386,5.622,3.031
65,0,2.614,4.245,5.957,6.905,8.71,9.855,10.792,12.481,13.591,13.707,14.586,16.02,16.414,17.177,17.721,18.045,17.721,16.923,17.05,16.772,16.24,15.338,15.361,14.921,14.274,13.429,13.024,12.527,12.134,11.451,10.78,10.029,9.149,6.073,3.273
70,0,2.591,4.314,6.177,7.137,8.883,10.121,11,12.712,13.811,14.32,15.303,16.656,17.304,18.068,18.75,18.958,18.831,18.068,18.322,18.611,17.883,16.899,16.523,16.032,15.361,14.389,13.961,13.533,13.013,12.296,11.579,10.711,9.867,6.547,3.528
75,0,2.591,4.442,6.454,7.403,9.057,10.364,11.197,12.839,13.961,15.06,16.171,17.397,18.068,18.831,19.988,19.722,20.103,19.34,19.594,19.965,19.247,18.12,17.836,17.027,16.333,15.338,14.887,14.343,13.904,13.048,12.296,11.382,10.433,6.963,3.759
80,0,2.591,4.569,6.732,7.773,9.196,10.561,11.451,12.955,14.193,15.673,16.784,18.137,18.762,19.594,21.121,20.612,21.376,20.74,20.867,20.821,20.242,19.028,18.987,17.906,17.2,16.182,15.72,15.153,14.69,13.799,13.001,12.053,11.023,7.345,3.979
85,0,2.591,4.638,7.021,8.085,9.381,10.746,11.729,12.955,14.505,16.043,17.397,19.005,19.12,20.485,21.908,21.63,22.394,22.012,22.139,21.677,21.064,19.837,19.756,18.877,18.131,17.027,16.437,15.962,15.384,14.54,13.626,12.643,11.59,7.738,4.164
90,0,2.591,4.708,7.229,8.386,9.577,10.989,11.845,12.955,14.69,16.414,17.894,19.629,19.942,21.295,22.521,22.648,23.157,23.03,23.284,22.417,21.769,20.52,20.323,19.537,18.756,17.663,17.061,16.483,15.974,15.014,14.089,13.105,12.007,8.016,4.303
95,0,2.591,4.777,7.403,8.49,9.751,11.104,11.845,12.863,14.806,16.61,18.519,20.242,20.936,21.838,22.775,23.539,23.793,23.921,24.175,23.146,22.556,21.289,20.67,19.895,19.109,17.975,17.374,16.761,16.275,15.292,14.343,13.314,12.249,8.132,4.395
100,0,2.591,4.835,7.53,8.49,9.763,11.104,11.845,12.839,14.933,16.784,19.132,20.612,21.815,22.105,23.261,24.048,24.302,24.557,24.811,24.129,23.423,22.024,21.006,20.231,19.363,18.241,17.674,17.073,16.471,15.488,14.609,13.568,12.411,8.236,4.453
105,0,2.591,4.881,7.657,8.513,9.716,10.989,11.845,12.77,14.933,16.911,19.259,20.855,22.428,22.382,23.388,24.302,24.557,24.811,25.066,24.615,23.897,22.486,21.341,20.543,19.687,18.472,17.883,17.27,16.714,15.766,14.783,13.742,12.562,8.351,4.511
110,0,2.568,4.939,7.75,8.513,9.566,10.861,11.729,12.712,14.852,17.027,19.375,21.225,22.556,22.88,23.666,24.117,24.811,24.938,25.193,24.857,24.129,22.718,21.572,20.716,19.791,18.611,17.987,17.374,16.842,15.858,14.875,13.823,12.643,8.409,4.546
115,0,2.464,4.939,7.657,8.525,9.335,10.619,11.602,12.666,14.783,17.096,19.132,21.48,22.544,22.88,23.712,23.909,25.066,25.019,25.135,24.985,24.244,22.799,21.572,20.786,19.895,18.715,18.091,17.478,16.957,15.951,14.968,13.904,12.724,8.479,4.581
120,0,2.348,4.939,7.287,8.513,9.149,10.41,11.382,12.562,14.69,17.154,18.519,21.353,22.556,22.579,23.759,23.735,25.1,24.927,25.066,24.742,24.013,22.602,21.457,20.786,19.895,18.715,18.091,17.536,16.957,15.951,15.049,13.904,12.724,8.513,4.581
125,0,2.013,4.939,6.755,8.351,8.883,10.271,11.232,12.562,14.806,17.05,18.068,20.855,22.301,22.336,23.574,23.539,25.314,24.724,24.811,24.499,23.77,22.371,21.341,20.786,19.895,18.715,18.091,17.536,16.957,15.951,15.072,13.904,12.724,8.525,4.581
130,0,1.723,4.812,6.246,8.016,8.641,9.994,10.861,12.342,14.436,16.911,17.767,20.659,22.856,22.81,23.342,23.435,24.933,24.291,24.534,24.244,23.539,22.139,21.121,20.786,19.895,18.715,18.091,17.57,16.957,15.951,15.049,13.904,12.724,8.513,4.581
135,0,1.481,4.314,5.703,7.287,8.143,9.381,10.364,12.215,13.452,16.286,17.397,20.219,22.151,22.394,23.805,24.279,25.471,24.268,24.302,24.002,23.308,21.908,20.89,20.786,19.895,18.75,18.091,17.536,17.003,15.951,14.968,13.904,12.724,8.502,4.581
140,0,1.168,3.331,5.263,6.547,7.218,8.444,9.624,11.474,12.585,15.673,16.911,19.467,20.936,21.653,22.775,24.048,24.661,24.43,24.129,23.759,23.03,21.63,20.676,20.786,19.837,18.715,18.068,17.478,16.865,15.951,14.91,13.904,12.724,8.467,4.557
145,0,0.914,2.591,4.812,5.922,6.316,7.657,8.883,10.619,11.359,14.69,16.171,18.426,19.71,20.485,21.758,23.03,23.77,23.793,23.921,23.296,22.677,21.214,20.462,20.265,19.375,18.16,17.651,17.061,16.367,15.488,14.517,13.487,12.33,8.236,4.43
150,0,0.74,1.723,4.314,5.309,5.552,6.917,7.773,9.751,9.994,13.823,14.933,17.212,18.23,19.028,20.358,21.885,22.845,23.284,23.412,22.775,22.128,20.751,19.988,19.56,18.715,17.559,17.073,16.46,15.986,15.037,14.077,13.071,12.007,7.958,4.28
155,0,0.613,1.11,3.944,4.638,4.985,6.223,6.663,9.011,9.138,13.082,13.823,15.881,16.975,17.732,19.213,20.485,21.046,21.966,22.394,21.919,21.306,20.069,18.97,18.392,17.617,16.495,16.107,15.511,15.089,14.135,13.267,12.307,11.313,7.484,4.037
160,0,0.497,0.868,3.459,4.072,4.488,5.679,5.552,8.143,8.398,12.342,12.839,13.001,15.905,16.576,18.068,18.276,18.276,20.15,20.219,20.439,19.942,18.82,17.836,17.246,16.552,15.546,14.991,14.54,14.1,13.233,12.469,11.544,10.572,7.01,3.782
