TWA\TWS,0,2,4,5,6,7,8,9,10,12,14,16,18,20,22,24,25,26,28,30,32,34,35,36,37,38,39,40,41,42,44,46,48,50,60,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1.145,1.654,2.163,1.909,2.545,3.69,2.267,5.726,7.634,7.634,7.253,8.907,9.011,9.011,7.773,8.641,7.16,5.679,5.679,6.292,6.05,5.703,5.471,4.823,4.615,4.303,4.257,4.014,3.91,3.62,3.424,3.146,2.88,1.874,1.006
35,0,1.527,2.163,2.672,2.418,3.69,4.581,3.921,6.998,9.416,8.907,9.034,10.433,10.619,10.619,9.254,9.994,8.641,8.027,8.143,7.715,7.414,7.044,6.79,5.992,5.668,5.332,5.46,4.985,4.904,4.523,4.28,3.921,3.563,2.452,1.33
40,0,1.804,2.672,3.308,3.435,4.904,6.107,6.813,8.525,11.07,10.433,10.942,11.579,11.972,11.972,10.619,11.602,10.121,10.364,10.364,9.381,9.138,8.617,8.675,8.039,7.761,7.287,7.021,6.848,6.57,6.154,5.818,5.321,4.858,3.192,1.7
45,0,2.128,3.308,3.944,4.453,6.744,8.016,8.641,10.688,12.469,11.96,11.96,12.724,13.082,13.082,12.215,13.082,11.729,11.972,12.099,10.931,10.619,9.948,10.086,9.439,9.115,8.641,8.351,8.051,7.727,7.229,6.813,6.246,5.691,3.759,2.013
50,0,2.464,3.69,4.708,5.853,7.889,9.034,9.497,11.451,12.978,12.724,12.724,13.522,13.788,13.973,14.193,14.436,13.695,13.325,13.302,12.481,12.111,11.405,11.498,11.035,10.595,10.156,9.832,9.485,9.149,8.594,8.039,7.368,6.755,4.395,2.337
55,0,2.672,4.072,5.344,6.489,8.398,9.416,10.156,12.168,13.418,13.267,13.429,14.355,14.436,14.84,15.176,15.743,15.176,14.193,14.32,13.418,13.117,12.423,12.596,12.041,11.486,11.081,10.723,10.376,10.005,9.404,8.814,8.143,7.438,4.858,2.579
60,0,2.718,4.326,5.853,6.871,8.779,9.855,10.699,12.608,13.84,13.672,14.262,15.286,15.176,15.824,16.286,16.656,16.171,15.06,15.384,14.609,14.285,13.568,13.799,13.233,12.608,11.983,11.625,11.22,10.769,10.133,9.589,8.837,8.004,5.275,2.788
65,0,2.701,4.372,6.136,7.114,8.982,10.162,11.127,12.863,14.008,14.135,15.037,16.286,15.916,16.656,17.189,17.501,17.189,16.414,16.541,16.275,15.754,14.875,14.898,14.47,13.846,13.024,12.631,12.134,11.729,11.035,10.352,9.601,8.722,5.691,3.019
70,0,2.603,4.349,6.211,7.206,8.941,10.179,11.081,12.793,13.904,14.401,15.396,16.761,16.784,17.524,18.183,18.392,18.264,17.524,17.767,18.056,17.351,16.39,16.032,15.546,14.898,13.961,13.545,13.105,12.585,11.845,11.116,10.248,9.416,6.142,3.25
75,0,2.591,4.442,6.454,7.403,9.057,10.364,11.197,12.839,13.961,15.06,16.171,17.397,17.524,18.264,19.386,19.132,19.502,18.762,19.005,19.363,18.669,17.582,17.304,16.518,15.847,14.875,14.436,13.892,13.441,12.573,11.81,10.896,9.948,6.524,3.459
80,0,2.591,4.569,6.732,7.773,9.196,10.561,11.451,12.955,14.193,15.673,16.784,18.137,18.276,19.005,20.485,19.999,20.74,20.115,20.242,20.196,19.629,18.461,18.415,17.374,16.68,15.696,15.245,14.679,14.204,13.29,12.481,11.532,10.514,6.882,3.667
85,0,2.591,4.638,7.021,8.085,9.381,10.746,11.729,12.955,14.505,16.043,17.397,19.005,19.028,19.953,21.249,20.983,21.723,21.353,21.48,21.029,20.427,19.247,19.167,18.311,17.582,16.518,15.939,15.454,14.875,14.008,13.082,12.099,11.058,7.253,3.84
90,0,2.591,4.708,7.229,8.386,9.577,10.989,11.845,12.955,14.69,16.414,17.894,19.629,19.942,20.832,21.85,21.966,22.463,22.336,22.59,21.746,21.121,19.907,19.71,18.947,18.195,17.131,16.552,15.962,15.442,14.47,13.533,12.539,11.451,7.519,3.967
95,0,2.591,4.777,7.403,8.49,9.751,11.104,11.845,12.863,14.806,16.61,18.519,20.242,20.936,21.411,22.22,22.833,23.076,23.203,23.446,22.452,21.885,20.647,20.046,19.294,18.53,17.431,16.853,16.229,15.731,14.736,13.776,12.747,11.683,7.623,4.048
100,0,2.591,4.835,7.53,8.49,9.763,11.104,11.845,12.839,14.933,16.784,19.132,20.612,21.815,21.885,22.833,23.331,23.574,23.816,24.071,23.4,22.718,21.364,20.381,19.629,18.785,17.698,17.142,16.529,15.928,14.921,14.031,12.99,11.833,7.727,4.106
105,0,2.591,4.881,7.657,8.513,9.716,10.989,11.845,12.77,14.933,16.911,19.259,20.855,22.428,22.382,23.03,23.574,23.816,24.071,24.314,23.874,23.18,21.815,20.705,19.93,19.097,17.917,17.351,16.726,16.159,15.187,14.193,13.152,11.983,7.831,4.153
110,0,2.649,4.939,7.75,8.513,9.566,10.861,11.729,12.712,14.852,17.027,19.375,21.225,22.556,22.88,23.342,23.712,24.071,24.187,24.441,24.117,23.4,22.035,20.925,20.092,19.201,18.056,17.443,16.83,16.286,15.28,14.285,13.233,12.064,7.889,4.187
115,0,2.545,5.089,7.889,8.785,9.508,10.688,11.602,12.666,14.783,17.096,19.132,21.48,22.544,22.88,23.562,23.712,24.314,24.268,24.383,24.233,23.516,22.116,20.925,20.161,19.294,18.149,17.547,16.923,16.39,15.373,14.378,13.302,12.134,7.947,4.222
120,0,2.418,5.089,7.507,8.774,9.427,10.734,11.729,12.955,14.887,17.154,18.519,21.353,22.556,22.579,23.759,23.62,24.557,24.175,24.314,24.002,23.296,21.919,20.809,20.161,19.294,18.149,17.547,16.98,16.39,15.373,14.447,13.302,12.134,7.981,4.222
125,0,2.07,5.089,6.963,8.612,9.161,10.59,11.579,12.949,15.268,17.582,18.623,20.855,22.301,22.336,23.574,23.539,24.869,24.013,24.071,23.759,23.053,21.7,20.705,20.161,19.294,18.149,17.547,16.98,16.39,15.373,14.47,13.302,12.134,7.993,4.222
130,0,1.781,4.962,6.443,8.259,8.907,10.306,11.197,12.724,14.887,17.431,18.322,21.017,22.186,22.128,23.342,23.435,24.881,24.013,23.955,23.516,22.833,21.48,20.485,20.161,19.294,18.149,17.547,17.015,16.39,15.373,14.447,13.302,12.134,7.981,4.222
135,0,1.527,4.453,5.876,7.507,8.398,9.67,10.688,12.596,13.869,16.795,17.94,20.427,21.491,21.723,23.088,23.55,24.707,23.782,23.886,23.284,22.613,21.249,20.265,20.161,19.294,18.183,17.547,16.98,16.437,15.373,14.378,13.302,12.134,7.97,4.222
140,0,1.203,3.435,5.425,6.744,7.443,8.71,9.924,11.833,12.978,16.159,17.431,19.664,20.312,21.006,22.093,23.331,23.921,23.701,23.701,23.041,22.336,20.983,20.057,20.161,19.247,18.149,17.524,16.923,16.309,15.373,14.32,13.302,12.134,7.935,4.199
145,0,0.937,2.672,4.962,6.107,6.506,7.889,9.161,10.942,11.706,15.141,16.668,18.611,19.12,19.872,21.11,22.336,23.053,23.076,23.203,22.602,22,20.578,19.849,19.652,18.796,17.617,17.119,16.518,15.824,14.921,13.938,12.909,11.764,7.727,4.083
150,0,0.763,1.781,4.453,5.471,5.726,7.125,8.016,10.052,10.306,14.251,15.396,17.385,17.686,18.461,19.745,21.225,22.162,22.59,22.706,22.093,21.468,20.127,19.386,18.97,18.149,17.027,16.564,15.939,15.454,14.493,13.522,12.504,11.451,7.461,3.944
155,0,0.636,1.145,4.072,4.777,5.142,6.42,6.871,9.288,9.416,13.487,14.251,16.043,16.46,17.2,18.634,19.872,20.416,21.306,21.723,21.26,20.67,19.467,18.403,17.836,17.084,15.997,15.627,14.968,14.551,13.614,12.735,11.775,10.792,7.021,3.725
160,0,0.509,0.891,3.563,4.199,4.621,5.853,5.726,8.398,8.652,12.724,13.233,13.406,15.43,16.078,17.524,17.732,17.732,19.548,19.618,19.826,19.34,18.253,17.304,16.726,16.055,15.083,14.54,14.008,13.499,12.643,11.926,11.035,10.086,6.57,3.482
