TWA\TWS,0,2,4,5,6,7,8,9,10,12,14,16,18,20,22,24,25,26,28,30,32,34,35,36,37,38,39,40,41,42,44,46,48,50,60,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1.114,1.613,2.1,1.856,2.471,3.585,2.204,5.569,7.425,7.425,7.054,8.666,9.038,9.038,7.796,8.666,7.181,5.696,5.696,6.311,6.068,5.72,5.488,4.838,4.629,4.316,4.269,4.026,3.921,3.631,3.434,3.156,2.889,1.879,1.009
35,0,1.485,2.1,2.599,2.355,3.585,4.455,3.817,6.81,9.165,8.666,8.794,10.151,10.65,10.65,9.281,10.024,8.666,8.052,8.168,7.738,7.437,7.065,6.81,6.01,5.685,5.348,5.476,5,4.919,4.536,4.293,3.933,3.573,2.46,1.334
40,0,1.752,2.599,3.214,3.341,4.768,5.94,6.625,8.295,10.766,10.151,10.65,11.265,12.008,12.008,10.65,11.637,10.151,10.395,10.395,9.409,9.165,8.643,8.701,8.063,7.785,7.309,7.042,6.868,6.59,6.172,5.836,5.337,4.873,3.202,1.705
45,0,2.065,3.214,3.84,4.327,6.567,7.796,8.411,10.395,12.135,11.637,11.637,12.379,13.122,13.122,12.251,13.122,11.764,12.008,12.135,10.964,10.65,9.977,10.117,9.467,9.142,8.666,8.376,8.075,7.75,7.251,6.833,6.265,5.708,3.771,2.019
50,0,2.402,3.585,4.583,5.696,7.68,8.794,9.235,11.138,12.623,12.379,12.379,13.156,13.829,14.015,14.235,14.479,13.736,13.365,13.342,12.518,12.147,11.439,11.532,11.068,10.627,10.186,9.861,9.513,9.177,8.62,8.063,7.39,6.775,4.409,2.344
55,0,2.599,3.956,5.198,6.311,8.168,9.165,9.885,11.834,13.052,12.913,13.064,13.968,14.479,14.885,15.221,15.79,15.221,14.235,14.363,13.458,13.156,12.46,12.634,12.077,11.52,11.114,10.755,10.407,10.035,9.432,8.84,8.168,7.46,4.873,2.587
60,0,2.645,4.211,5.696,6.683,8.539,9.583,10.407,12.263,13.47,13.307,13.876,14.873,15.221,15.871,16.335,16.706,16.219,15.105,15.43,14.653,14.328,13.609,13.841,13.272,12.646,12.019,11.66,11.254,10.801,10.163,9.618,8.864,8.028,5.29,2.796
65,0,2.622,4.258,5.975,6.926,8.736,9.885,10.824,12.518,13.632,13.748,14.63,15.848,15.964,16.706,17.24,17.553,17.24,16.463,16.59,16.324,15.802,14.92,14.943,14.514,13.887,13.064,12.669,12.17,11.764,11.068,10.384,9.629,8.748,5.708,3.028
70,0,2.599,4.327,6.195,7.158,8.91,10.151,11.033,12.75,13.852,14.363,15.349,16.706,16.834,17.577,18.238,18.447,18.319,17.577,17.82,18.11,17.403,16.44,16.08,15.593,14.943,14.003,13.586,13.145,12.623,11.88,11.149,10.279,9.444,6.161,3.26
75,0,2.599,4.455,6.474,7.425,9.084,10.395,11.23,12.878,14.003,15.105,16.219,17.449,17.577,18.319,19.444,19.189,19.56,18.818,19.062,19.421,18.725,17.635,17.356,16.567,15.894,14.92,14.479,13.934,13.481,12.611,11.845,10.929,9.977,6.543,3.469
80,0,2.599,4.583,6.752,7.796,9.223,10.592,11.486,12.994,14.235,15.72,16.834,18.191,18.331,19.062,20.547,20.059,20.802,20.175,20.303,20.257,19.688,18.516,18.47,17.426,16.73,15.744,15.291,14.723,14.247,13.33,12.518,11.567,10.546,6.903,3.678
85,0,2.599,4.652,7.042,8.11,9.409,10.778,11.764,12.994,14.549,16.092,17.449,19.062,19.085,20.013,21.312,21.045,21.788,21.417,21.544,21.092,20.489,19.305,19.224,18.365,17.635,16.567,15.987,15.5,14.92,14.05,13.122,12.135,11.091,7.274,3.852
90,0,2.599,4.722,7.251,8.411,9.606,11.022,11.88,12.994,14.734,16.463,17.948,19.688,20.001,20.895,21.916,22.032,22.531,22.403,22.658,21.811,21.185,19.967,19.769,19.004,18.249,17.182,16.602,16.01,15.488,14.514,13.574,12.576,11.486,7.541,3.979
95,0,2.599,4.792,7.425,8.516,9.78,11.138,11.88,12.901,14.85,16.66,18.574,20.303,20.999,21.475,22.287,22.902,23.145,23.273,23.517,22.519,21.95,20.709,20.106,19.352,18.586,17.484,16.904,16.277,15.778,14.781,13.818,12.785,11.718,7.646,4.061
100,0,2.599,4.85,7.553,8.516,9.792,11.138,11.88,12.878,14.978,16.834,19.189,20.674,21.881,21.95,22.902,23.401,23.644,23.888,24.143,23.47,22.786,21.428,20.442,19.688,18.841,17.751,17.194,16.579,15.976,14.966,14.073,13.029,11.869,7.75,4.119
105,0,2.599,4.896,7.68,8.539,9.745,11.022,11.88,12.808,14.978,16.962,19.317,20.918,22.496,22.449,23.099,23.644,23.888,24.143,24.387,23.946,23.25,21.881,20.767,19.99,19.154,17.971,17.403,16.776,16.208,15.233,14.235,13.191,12.019,7.854,4.165
110,0,2.576,4.954,7.773,8.539,9.595,10.894,11.764,12.75,14.897,17.078,19.433,21.289,22.623,22.948,23.412,23.783,24.143,24.259,24.514,24.19,23.47,22.101,20.987,20.152,19.259,18.11,17.495,16.88,16.335,15.326,14.328,13.272,12.101,7.912,4.2
115,0,2.471,4.954,7.68,8.55,9.363,10.65,11.637,12.704,14.827,17.147,19.189,21.544,22.612,22.948,23.633,23.783,24.387,24.34,24.456,24.306,23.586,22.182,20.987,20.222,19.352,18.203,17.6,16.973,16.44,15.419,14.421,13.342,12.17,7.97,4.235
120,0,2.355,4.954,7.309,8.539,9.177,10.442,11.416,12.599,14.734,17.205,18.574,21.417,22.623,22.647,23.83,23.691,24.63,24.248,24.387,24.074,23.366,21.985,20.871,20.222,19.352,18.203,17.6,17.031,16.44,15.419,14.491,13.342,12.17,8.005,4.235
125,0,2.019,4.954,6.775,8.376,8.91,10.302,11.265,12.599,14.85,17.101,18.122,20.918,22.368,22.403,23.644,23.609,24.944,24.085,24.143,23.83,23.122,21.765,20.767,20.222,19.352,18.203,17.6,17.031,16.44,15.419,14.514,13.342,12.17,8.017,4.235
130,0,1.729,4.826,6.265,8.04,8.666,10.024,10.894,12.379,14.479,16.962,17.82,20.442,22.252,22.194,23.412,23.505,24.955,24.085,24.027,23.586,22.902,21.544,20.547,20.222,19.352,18.203,17.6,17.066,16.44,15.419,14.491,13.342,12.17,8.005,4.235
135,0,1.485,4.327,5.72,7.309,8.168,9.409,10.395,12.251,13.493,16.335,17.449,19.874,21.556,21.788,23.157,23.621,24.781,23.853,23.958,23.354,22.681,21.312,20.326,20.222,19.352,18.238,17.6,17.031,16.486,15.419,14.421,13.342,12.17,7.994,4.235
140,0,1.172,3.341,5.279,6.567,7.239,8.469,9.653,11.509,12.623,15.72,16.962,19.131,20.373,21.069,22.159,23.401,23.992,23.772,23.772,23.111,22.403,21.045,20.117,20.222,19.305,18.203,17.577,16.973,16.358,15.419,14.363,13.342,12.17,7.959,4.211
145,0,0.917,2.599,4.826,5.94,6.335,7.68,8.91,10.65,11.393,14.734,16.219,18.11,19.178,19.932,21.173,22.403,23.122,23.145,23.273,22.67,22.066,20.639,19.909,19.711,18.853,17.669,17.171,16.567,15.871,14.966,13.98,12.947,11.799,7.75,4.095
150,0,0.743,1.729,4.327,5.325,5.569,6.938,7.796,9.78,10.024,13.864,14.978,16.915,17.739,18.516,19.804,21.289,22.229,22.658,22.774,22.159,21.533,20.187,19.444,19.027,18.203,17.078,16.614,15.987,15.5,14.537,13.562,12.541,11.486,7.483,3.956
155,0,0.615,1.114,3.956,4.652,5,6.242,6.683,9.038,9.165,13.122,13.864,15.604,16.509,17.252,18.69,19.932,20.477,21.37,21.788,21.324,20.732,19.526,18.458,17.89,17.136,16.045,15.674,15.013,14.595,13.655,12.773,11.811,10.824,7.042,3.736
160,0,0.499,0.87,3.469,4.084,4.501,5.696,5.569,8.168,8.423,12.379,12.878,13.04,15.477,16.126,17.577,17.785,17.785,19.607,19.676,19.885,19.398,18.307,17.356,16.776,16.103,15.129,14.583,14.05,13.539,12.681,11.961,11.068,10.117,6.59,3.492
