TWA\TWS,0,6,8,10,12,14,16,18,20,24,28,30,40,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,4.37,5.14,5.52,5.82,5.92,6.11,5.98,6.21,6.2,6.21,6.21,6.21,4.69
50,0,4.6,5.34,5.81,6.18,6.31,6.63,6.46,6.69,6.77,6.88,6.88,6.88,5.19
55,0,4.77,5.53,6.1,6.52,6.7,7.09,6.91,7.17,7.35,7.45,7.45,7.45,5.65
60,0,4.985,5.775,6.42,6.93,7.23,7.73,7.7,7.67,7.83,8.02,8.02,8.02,6.12
65,0,5.15,5.99,6.73,7.33,7.62,8.1,8.26,8.42,8.3,8.6,8.69,8.69,6.6
70,0,5.25,6.14,7.04,7.62,8.02,8.44,8.71,8.98,8.88,9.16,9.36,9.34,7.08
75,0,5.3,6.19,7.23,7.92,8.39,8.8,9.115,9.43,9.45,9.69,9.85,10.03,7.55
80,0,5.375,6.25,7.33,8.19,8.69,9.15,9.49,9.83,10.085,10.13,10.32,10.58,7.96
85,0,5.45,6.335,7.405,8.34,8.97,9.47,9.815,10.16,10.63,10.53,10.82,10.99,8.33
90,0,5.5,6.44,7.46,8.41,9.175,9.76,10.065,10.37,11.25,10.895,11.22,11.33,8.56
95,0,5.54,6.53,7.52,8.52,9.4,10.04,10.305,10.57,11.65,11.305,11.6,11.66,8.73
100,0,5.58,6.62,7.63,8.66,9.58,10.36,10.59,10.82,11.88,11.72,12.04,12.09,8.95
105,0,5.54,6.63,7.67,8.71,9.7,10.57,10.87,11.17,12.11,12.13,12.515,12.52,9.17
110,0,5.52,6.6,7.59,8.78,9.79,10.73,11.18,11.63,12.4,12.46,12.93,12.81,9.33
115,0,5.45,6.565,7.43,8.71,9.7,10.84,11.48,12.12,12.71,12.755,13.285,12.94,9.53
120,0,5.44,6.53,7.31,8.605,9.635,10.85,11.645,12.44,13.08,13.065,13.38,13.02,9.66
125,0,5.42,6.46,7.22,8.43,9.56,10.88,11.71,12.54,13.3,13.33,13.38,13.13,9.69
130,0,5.34,6.31,7.07,8.255,9.45,10.81,11.655,12.5,13.23,13.33,13.315,13.18,9.75
135,0,5.14,6.11,7.03,8.15,9.28,10.52,11.28,12.04,12.95,13.07,13.23,13.08,9.72
140,0,4.85,5.82,6.82,7.95,8.94,10.08,10.715,11.51,12.195,12.53,12.74,12.63,9.61
145,0,4.53,5.43,6.49,7.75,8.63,9.82,10.23,11.2,11.55,11.91,12.16,12.12,9.44
150,0,4.24,5.03,6.18,7.45,8.34,9.51,9.96,10.91,11.17,11.37,11.52,11.64,9.2
155,0,3.88,4.66,5.83,6.96,8,9.21,9.64,10.57,10.8,10.88,10.93,10.97,8.68
160,0,3.49,4.3,5.4,6.31,7.28,8.64,8.97,9.69,9.81,9.93,10.12,10.06,8.01
180,0,2.52,3.01,3.78,4.37,4.95,5.53,5.97,6.67,6.7,6.78,6.92,6.98,5.48
