TWA\TWS,0,4,6,8,10,12,14,16,20,25,30,40
0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,1.73,2.52,4,4.55,5.86,7.09,8.12,9.41,8.63,7.55,1.75
30,0,2.57,3.65,5.68,6.75,8.34,10.1,11.72,13.78,12.74,10.99,2.61
40,0,3.39,4.79,7.34,8.83,10.79,13.05,15,17.76,16.59,14.2,3.44
50,0,4.16,6.08,9.12,10.85,13.39,16.2,18.14,21.05,20.06,17.63,4.23
60,0,4.9,7.18,10.13,12.64,14.95,18.38,20.55,23.82,23.26,20.46,4.97
70,0,5.42,7.72,10.68,13.62,16.08,19.82,22.33,24.93,26.26,23.59,5.61
80,0,5.78,8.27,11.31,14.73,17.59,21.58,24.34,25.86,28.9,26.5,5.94
90,0,5.82,8.65,11.88,15.88,19.3,23.48,26.04,26.81,30.21,28.76,6.04
100,0,5.95,8.83,12.25,16.53,20.45,25.04,26.92,27.33,30.58,30.58,6.17
110,0,5.98,8.93,12.45,16.83,21.19,25.95,27.76,27.76,31.45,31.28,6.13
120,0,5.92,8.92,12.42,16.49,21.11,25.47,27.95,28.18,31.74,30.1,5.78
130,0,5.18,8.15,11.36,14.63,19.06,23.6,26.84,29.99,32.63,29.68,5.19
140,0,4.59,6.72,9.51,12.32,16.29,20.59,24.07,29.92,31.37,29.66,4.66
150,0,4,5.58,8,10.49,13.87,17.55,20.55,26.63,29.02,27.72,4.06
160,0,3.41,4.61,6.73,9.09,11.89,14.94,17.51,22.46,24.8,24.2,3.38
170,0,2.82,3.68,5.56,7.9,10.11,12.49,14.62,18.27,20.58,20.67,2.78
180,0,2.23,2.72,4.37,6.79,8.34,9.99,11.64,14.09,16.36,17.14,2.21
