TWA\TWS,0,4,6,8,10,12,14,16,20,25,30,40
0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,1.78,2.6,4.12,4.69,6.04,7.31,8.37,9.55,8.37,7.32,1.7
30,0,2.65,3.76,5.86,6.96,8.6,10.41,12.08,13.99,12.36,10.66,2.53
40,0,3.49,4.94,7.57,9.1,11.12,13.45,15.46,18.03,16.09,13.77,3.34
50,0,4.29,6.27,9.4,11.19,13.8,16.7,18.7,21.37,19.46,17.1,4.1
60,0,5.05,7.4,10.44,13.03,15.41,18.95,21.19,24.18,22.56,19.85,4.82
70,0,5.55,7.92,10.96,13.98,16.51,20.35,22.92,25.41,25.47,22.88,5.44
80,0,5.78,8.27,11.31,14.73,17.59,21.58,24.34,25.86,28.03,25.71,5.76
90,0,5.82,8.65,11.88,15.88,19.3,23.48,26.04,26.81,29.61,27.9,5.86
100,0,5.95,8.83,12.25,16.53,20.45,25.04,26.92,27.33,30.58,29.66,5.98
110,0,6.11,8.93,12.45,16.83,21.19,25.95,27.76,27.76,31.45,30.57,5.95
120,0,6.1,9.2,12.8,17,21.76,26.15,27.95,28.18,31.74,29.99,5.61
130,0,5.34,8.4,11.71,15.08,19.65,24.33,27.67,30.45,31.65,29.46,5.03
140,0,4.73,6.93,9.8,12.7,16.79,21.23,24.81,30.38,30.43,28.77,4.52
150,0,4.12,5.75,8.25,10.81,14.3,18.09,21.19,27.04,28.15,26.89,3.94
160,0,3.52,4.75,6.94,9.37,12.26,15.4,18.05,22.8,24.06,23.47,3.28
170,0,2.91,3.79,5.73,8.14,10.42,12.88,15.07,18.55,19.96,20.05,2.7
180,0,2.3,2.8,4.5,7,8.6,10.3,12,14.3,15.87,16.63,2.14
