TWA\TWS,0,4,6,8,10,12,14,16,20,25,30,40
0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,1.73,2.52,4,4.55,5.86,7.09,8.12,9.26,8.37,7.32,1.7
30,0,2.57,3.65,5.68,6.75,8.34,10.1,11.72,13.57,12.36,10.66,2.53
40,0,3.39,4.79,7.34,8.83,10.79,13.05,15,17.49,16.09,13.77,3.34
50,0,4.16,6.08,9.12,10.85,13.39,16.2,18.14,20.73,19.46,17.1,4.1
60,0,4.9,7.18,10.13,12.64,14.95,18.38,20.55,23.45,22.56,19.85,4.82
70,0,5.42,7.72,10.68,13.62,16.08,19.82,22.33,24.65,25.47,22.88,5.44
80,0,5.78,8.27,11.31,14.73,17.59,21.58,24.34,25.86,28.03,25.71,5.76
90,0,5.82,8.65,11.88,15.88,19.3,23.48,26.04,26.81,29.61,27.9,5.86
100,0,5.95,8.83,12.25,16.53,20.45,25.04,26.92,27.33,30.58,29.66,5.98
110,0,5.98,8.93,12.45,16.83,21.19,25.95,27.76,27.76,31.45,30.57,5.95
120,0,5.92,8.92,12.42,16.49,21.11,25.47,27.95,28.18,31.74,29.99,5.61
130,0,5.18,8.15,11.36,14.63,19.06,23.6,26.84,29.54,31.65,29.46,5.03
140,0,4.59,6.72,9.51,12.32,16.29,20.59,24.07,29.47,30.43,28.77,4.52
150,0,4,5.58,8,10.49,13.87,17.55,20.55,26.23,28.15,26.89,3.94
160,0,3.41,4.61,6.73,9.09,11.89,14.94,17.51,22.12,24.06,23.47,3.28
170,0,2.82,3.68,5.56,7.9,10.11,12.49,14.62,17.99,19.96,20.05,2.7
180,0,2.23,2.72,4.37,6.79,8.34,9.99,11.64,13.87,15.87,16.63,2.14
