TWA\TWS,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,35,40,50,60,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1.84,3.59,5.04,6.01,6.11,6.79,7.08,7.18,7.39,7.58,7.68,7.78,7.88,7.88,7.98,7.98,7.98,5.9,0.1,0
35,0,2.24,4.46,6.21,7.37,7.47,8.44,8.63,8.83,9.06,9.36,9.46,9.65,9.75,9.75,9.85,9.95,9.95,8.01,1.5,0
40,0,2.72,5.43,7.57,8.89,9.22,10.28,10.57,10.77,11.13,11.43,11.62,11.72,11.82,11.92,12.02,12.12,11.82,9.44,2.78,0.5
45,0,3.01,6.01,8.24,9.43,9.7,10.67,11.06,11.35,11.82,12.02,12.21,12.31,12.51,12.61,12.75,12.9,12.9,10.38,4.1,0.9
50,0,3.2,6.5,8.73,9.73,10.09,11.16,11.54,11.83,12.31,12.61,12.81,13,13.2,13.3,13.5,13.89,13.89,11.17,5.53,1.55
55,0,3.4,6.98,9.22,10.05,10.48,11.54,11.93,12.32,12.81,13.1,13.4,13.69,13.85,14.09,14.38,14.87,14.87,11.98,6.96,2.48
60,0,3.59,7.28,9.6,10.24,10.77,11.88,12.32,12.71,13.2,13.59,14,14.34,14.6,15,15.3,15.9,15.86,12.91,8.39,3.38
65,0,3.76,7.48,9.84,10.41,10.99,12.16,12.63,13.02,13.71,14.18,14.68,15.1,15.46,15.9,16.25,17.24,16.92,13.87,9.41,3.94
70,0,3.94,7.66,9.99,10.77,11.23,12.48,12.87,13.44,14.07,14.84,15.37,15.96,16.35,16.8,17.3,18.7,17.86,14.63,10.51,4.47
75,0,4.04,7.84,10.18,11.16,11.52,12.68,13.32,13.83,14.5,15.29,16.12,16.7,17.14,17.7,18.22,19.7,18.83,15.25,11.42,4.96
80,0,4.13,7.97,10.27,11.52,11.86,12.87,13.64,14.31,14.98,15.66,16.59,17.56,18.1,18.6,19.2,20.69,19.65,15.86,12.17,5.38
85,0,4.13,7.97,10.37,11.72,12.19,13.15,13.93,14.7,15.56,16.4,17.22,18.32,19.03,19.6,20.09,21.47,20.5,16.45,12.88,5.72
90,0,4.13,7.97,10.37,11.81,12.58,13.44,14.31,15.07,16.13,17.08,17.93,18.86,20,20.4,20.8,22.2,21.19,16.91,13.62,5.99
95,0,4.04,7.85,10.27,11.74,12.77,13.64,14.6,15.66,16.71,17.75,18.5,19.3,20.24,20.8,21.1,22.6,21.79,17.31,14.29,6.2
100,0,3.88,7.68,10.11,11.7,12.87,13.74,14.79,16.03,17.19,18.32,19.08,19.79,20.36,21,21.37,22.9,22.38,17.84,14.95,6.41
105,0,3.73,7.46,9.99,11.64,12.8,13.83,14.89,16.23,17.55,18.61,19.17,19.88,20.28,21.1,21.7,23.25,23.07,18.42,15.47,6.57
110,0,3.69,7.21,9.89,11.64,12.76,13.83,14.98,16.52,17.69,18.91,19.26,19.98,20.49,21.15,22.05,23.8,23.74,19.1,15.92,6.82
115,0,3.63,7.18,9.86,11.52,12.74,13.77,15.07,16.52,17.67,18.81,19.36,20.18,20.76,21.53,22.38,24.53,24.53,19.73,16.34,7.06
120,0,3.49,6.98,9.7,11.45,12.78,13.74,15.11,16.52,17.58,18.71,19.56,20.37,21.05,21.92,22.73,25.22,25.22,20.28,16.91,7.26
125,0,3.37,6.65,9.41,11.25,12.61,13.77,15.32,16.59,17.58,18.71,19.65,20.5,21.44,22.27,23.12,25.95,25.91,20.84,17.52,7.5
130,0,3.2,6.28,8.92,10.86,12.32,13.77,15.33,16.68,18.03,19.4,20.11,21.04,21.91,22.56,23.49,26.5,26.73,21.48,18.19,7.73
135,0,2.95,5.78,8.34,10.28,11.79,13.12,14.74,16.33,17.63,19.6,20.59,21.64,22.6,23.6,24.52,27.17,27.62,22.11,18.85,7.93
140,0,2.72,5.34,7.76,9.7,11.23,12.51,13.97,15.91,17.24,19.5,20.59,21.77,22.75,24.1,25.13,28.6,28.47,22.65,19.28,8.12
145,0,2.42,4.85,6.98,8.92,10.53,11.74,13,14.84,16.25,18.32,20.16,21.7,22.95,24.5,25.56,28.37,28.4,22.82,19.22,8.17
150,0,2.15,4.27,6.31,8.24,9.8,11.06,12.32,13.77,15.37,17.34,19.31,21.37,23.05,24.5,25.85,28.17,28.17,22.65,19.07,8.09
155,0,1.94,3.83,5.63,7.47,9.02,10.38,11.54,12.8,14.28,15.86,17.92,20,21.8,23.23,24.7,27.78,27.78,22.35,18.77,7.99
160,0,1.76,3.49,5.12,6.79,8.34,9.7,10.86,12.03,13.4,14.6,16.55,18.6,20.3,21.85,23.25,27.28,27.28,21.94,18.47,7.85
170,0,1.45,2.97,4.28,5.63,6.98,8.24,9.56,10.77,11.93,12.57,14.3,15.9,17.4,19.46,20.6,25.31,25,19.87,17.16,7.26
180,0,1.23,2.54,3.49,4.75,5.82,6.98,8.44,9.7,10.49,10.8,12.5,13.5,15,17.3,18,22.75,22.17,17.82,16.17,6.68
