TWA\TWS,0,4,6,8,10,12,14,16,20,24,30,35,40,50,60,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,2.42,3.62,4.48,5.24,5.04,5.52,5.57,5.61,5.35,6,5.51,4.96,4.13,2.47,0.65
35,0,3.25,4.87,5.81,6.75,6.79,7.18,7.28,7.31,7.45,7.7,7.41,6.33,5.16,3.16,1.06
40,0,3.72,5.59,6.66,7.44,7.85,8.06,8.21,8.36,8.4,8.74,8.38,7.24,6.08,3.66,1.27
45,0,3.99,5.98,7.04,7.74,8.1,8.32,8.44,8.7,8.78,9.6,9,7.88,6.59,4.07,1.52
50,0,4.25,6.37,7.42,7.96,8.29,8.44,8.63,8.83,9.05,10.17,9.33,8.27,6.91,4.43,1.72
60,0,4.51,6.76,7.78,8.27,8.57,8.77,8.91,9.12,9.43,10.98,9.72,8.75,7.29,4.86,1.94
70,0,4.66,6.96,7.92,8.45,8.87,9.13,9.33,9.62,9.83,11.43,10.19,9.21,7.58,5.1,2.05
80,0,4.66,6.97,7.92,8.49,9.01,9.43,9.71,10.14,10.41,12.05,10.73,9.66,8.05,5.39,2.17
90,0,4.68,7.01,8.06,8.65,9.06,9.55,10.03,10.71,11.2,12.71,11.46,10.4,8.66,5.78,2.31
100,0,4.63,6.95,8.04,8.71,9.28,9.79,10.21,10.88,11.82,13.06,12.02,10.97,9.14,6.09,2.44
110,0,4.56,6.88,8.06,8.86,9.53,10.19,10.8,11.77,12.48,13.71,12.66,11.55,9.71,6.42,2.57
120,0,4.43,6.65,7.99,8.84,9.65,10.36,11.08,12.75,14.05,14.65,13.74,12.37,10.34,6.89,2.76
130,0,4.19,6.29,7.74,8.59,9.41,10.23,11.07,12.88,14.76,15.5,14.89,13.4,11,7.45,2.98
140,0,3.72,5.58,7.1,8.09,8.86,9.64,10.71,13.1,15.7,16.26,16.12,14.51,12.01,8.06,3.16
145,0,3.43,5.15,6.61,7.77,8.57,9.37,10.43,12.85,15.9,16.48,16.35,14.72,11.99,7.93,3.15
150,0,3.17,4.76,6.16,7.37,8.26,8.95,9.71,11.71,14.9,15.55,15.36,13.82,11.52,7.71,2.99
155,0,2.9,4.36,5.64,6.89,7.81,8.48,9.2,10.89,13.59,14,13.8,12.42,10.35,6.92,2.76
160,0,2.67,4.01,5.18,6.31,7.28,8,8.68,10.19,12.28,12.6,12.46,11.22,9.35,6.26,2.5
170,0,2.32,3.49,4.54,5.59,6.55,7.38,7.94,9.28,10.87,10.82,11.02,9.92,8.27,5.51,2.2
180,0,2.07,3.09,4.13,5.12,6.08,6.95,7.69,8.76,10.05,9.9,10.2,9.18,7.65,5.1,2.1
