TWA\TWS,0,4,6,8,10,12,14,16,20,24,30,35,40,50,60,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,2.49,3.73,4.62,5.4,5.2,5.69,5.74,5.78,5.51,5.82,5.34,4.81,3.94,2.32,0.6
35,0,3.35,5.02,5.99,6.96,7,7.4,7.5,7.54,7.68,7.47,7.19,6.14,4.92,2.96,0.98
40,0,3.84,5.76,6.87,7.67,8.09,8.31,8.46,8.62,8.66,8.48,8.13,7.02,5.8,3.43,1.17
45,0,4.11,6.17,7.26,7.98,8.35,8.58,8.7,8.97,9.05,9.31,8.73,7.64,6.29,3.82,1.4
50,0,4.38,6.57,7.65,8.21,8.55,8.7,8.9,9.1,9.33,9.86,9.05,8.02,6.59,4.15,1.58
60,0,4.65,6.97,8.02,8.53,8.84,9.04,9.19,9.4,9.72,10.65,9.43,8.49,6.95,4.56,1.79
70,0,4.8,7.18,8.16,8.71,9.14,9.41,9.62,9.92,10.13,11.1,9.88,8.93,7.23,4.78,1.89
80,0,4.76,7.19,8.17,8.75,9.29,9.72,10.01,10.45,10.73,11.7,10.41,9.37,7.68,5.05,2
90,0,4.68,7.05,8.11,8.71,9.29,9.85,10.34,11.04,11.55,12.43,11.12,10.09,8.26,5.42,2.13
100,0,4.68,7.02,8.17,8.84,9.28,9.79,10.21,11.18,12.19,13.12,11.66,10.64,8.72,5.71,2.25
110,0,4.7,7.09,8.27,9.08,9.64,10.24,10.8,11.77,12.56,13.83,12.28,11.2,9.26,6.02,2.37
120,0,4.57,6.86,8.24,9.11,9.95,10.68,11.34,12.75,14.05,14.43,13.33,12,9.86,6.46,2.54
130,0,4.32,6.48,7.98,8.86,9.7,10.55,11.41,13.28,14.89,15.34,14.44,13,10.49,6.99,2.75
140,0,3.83,5.75,7.32,8.34,9.13,9.94,11.04,13.51,16.12,16.33,15.64,14.07,11.46,7.56,2.91
145,0,3.54,5.31,6.81,8.01,8.84,9.66,10.75,13.25,16.35,16.74,15.86,14.28,11.44,7.44,2.9
150,0,3.27,4.91,6.35,7.6,8.52,9.23,10.01,12.07,15.36,16.02,14.9,13.41,10.99,7.23,2.76
155,0,2.99,4.49,5.81,7.1,8.05,8.74,9.48,11.23,13.8,14.41,13.39,12.05,9.87,6.49,2.54
160,0,2.75,4.13,5.34,6.5,7.5,8.25,8.95,10.5,12.46,12.98,12.09,10.88,8.92,5.87,2.3
170,0,2.39,3.6,4.68,5.76,6.75,7.61,8.19,9.57,11.02,11.13,10.69,9.62,7.7,5.17,2.03
180,0,2.13,3.19,4.26,5.28,6.27,7.17,7.93,9.03,10.2,10.15,9.89,8.9,6.93,4.67,1.94
