TWA\TWS,0,6,8,10,12,14,16,20,25,30,35,40,50,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,1.2,6.12,3.83,8.88,12.69,13.15,12.89,9.67,7.72,5.77,3.82,1.43,0.09
35,0,2.95,7.98,7.54,11.81,13.01,13.47,13.32,11.63,10.11,8.58,7.06,4.2,0.28
36,0,4.11,9.38,9.59,12.4,13.19,13.64,13.78,12.53,11.27,10.02,8.77,5.63,0.74
38,0,6.37,10.77,10.98,12.79,13.46,13.98,14.43,13.31,12.18,11.06,9.93,6.49,0.92
41,0,8.69,11.64,11.76,13.24,13.9,14.44,14.96,13.86,12.88,11.91,10.94,7.63,1.05
47,0,10.56,12.5,13.04,13.91,14.7,15.34,15.97,14.87,13.82,12.78,11.75,8.58,1.2
52,0,11.4,13.03,13.86,14.58,15.46,16.16,16.95,15.75,14.55,13.35,12.15,9.06,1.31
60,0,12.35,13.79,14.64,15.44,16.39,17.27,18.29,16.88,15.46,14.06,12.64,9.54,1.45
75,0,13.23,14.64,15.95,16.94,17.7,19.43,21.11,17.84,17.06,15.11,13.36,9.82,1.66
90,0,13.22,14.98,16.59,18.09,19.24,20.53,22.55,18.81,17.6,15.89,14.27,10.21,1.94
110,0,12.7,14.65,16.85,18.3,20.06,21.38,23.47,20.79,19.11,17.61,16.51,11.26,2.4
120,0,12.32,14.65,16.4,17.71,19.85,21.83,24.16,22.26,20.57,18.89,18.32,12.3,2.86
130,0,11.39,13.87,15.71,17.56,19.91,21.7,24.21,23.24,22.26,20.92,20.42,13.74,3.59
135,0,10.82,13.22,15.35,17.04,19.48,21.21,24.09,23.25,22.59,21.7,21.37,14.59,4.15
140,0,10.35,12.58,14.49,16.2,18.43,20.8,23.39,22.89,22.52,22.15,21.78,15.3,4.61
143,0,9.9,12.08,13.84,15.73,17.81,20.47,22.93,22.6,22.27,21.95,21.62,15.37,4.7
147,0,9.39,11.59,13.05,14.98,16.99,19.54,22.39,22.08,21.77,21.46,21.15,14.95,4.61
150,0,8.81,11.16,12.54,14.35,16.5,18.45,21.74,21.43,21.13,20.82,20.53,14.36,4.52
180,0,4.11,5.98,6.59,7.26,8.14,9.04,10.03,10.19,10.36,10.53,10.7,9.08,3.5
