TWA\TWS,0,6,8,10,12,16,18,20,25,30,40,50
0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,1.26,2.26,2.54,3.49,7.66,6.4,5.82,6.5,7,2.7,1.56
36,0,1.53,2.66,2.91,3.81,8.44,7.1,6.27,6.9,7.5,3,1.73
40,0,1.74,3.03,3.2,4.07,9.02,7.5,6.6,7.2,7.88,3.19,1.85
45,0,1.92,3.47,3.43,4.34,9.41,7.8,6.9,7.5,8.2,3.4,1.98
52,0,2.15,3.82,3.72,4.56,9.8,8.1,7.2,7.8,8.6,3.7,2.13
60,0,2.37,4.11,3.96,4.75,10.09,8.4,7.4,8.1,8.9,4,2.3
70,0,2.5,4.27,3.99,4.85,10.38,8.73,7.7,8.5,9.3,4.27,2.51
75,0,2.48,4.36,3.98,4.82,10.57,9.02,7.84,8.75,9.5,4.37,2.62
80,0,2.45,4.42,3.98,4.85,10.77,9.31,7.92,9,9.7,4.48,2.74
90,0,2.48,4.48,4.03,5.04,11.06,9.8,8.63,9.3,9.9,4.7,2.97
100,0,2.51,4.56,4.09,5.28,11.16,10.38,9.51,9.56,10.1,4.9,3.15
105,0,2.54,4.58,4.14,5.43,11.16,10.57,9.89,9.85,10.1,5,3.22
110,0,2.61,4.58,4.19,5.63,11.16,10.77,10.28,10.15,10.2,5.1,3.28
115,0,2.64,4.6,4.28,5.82,11.2,10.96,10.67,10.48,10.19,5.2,3.34
120,0,2.62,4.58,4.37,6.1,11.29,11.06,11.06,10.77,10.28,5.28,3.39
125,0,2.45,4.46,4.29,6.14,11.58,11.16,11.5,10.96,10.38,5.36,3.44
130,0,2.29,4.29,4.17,6.07,11.64,11.25,11.75,11.6,10.43,5.55,3.5
135,0,2.14,4.11,4.05,5.93,11.54,11.25,11.7,12,10.9,5.7,3.56
140,0,2.01,3.94,3.88,5.74,11.35,11.06,11.6,11.9,11.1,5.95,3.6
150,0,1.75,3.59,3.46,5.16,10.38,10.19,10.8,10.9,10.8,5.84,3.6
160,0,1.46,2.99,2.93,4.37,9.31,9.14,9.8,9.9,10,5.4,3.4
165,0,1.35,2.75,2.72,4.04,8.73,8.63,9.4,9.4,9.6,5.1,3.26
170,0,1.24,2.55,2.52,3.78,8.24,8.15,9,8.9,9.2,4.83,3.06
180,0,1.07,2.27,2.23,3.3,7.28,7.28,8.2,7.82,8.3,4.3,2.66
