TWA\TWS,0,3,6,9,12,15,18,21,24,27,30,35,40,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0.97,1.94,2.91,2.91,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,0.79
45,0,1.94,3.88,5.75,6.74,7.76,7.76,7.48,6.46,5.82,4.85,4.85,4.85,1.08
50,0,2.75,4.85,6.42,7.46,8.55,8.73,8.22,7.13,6.61,5.82,5.82,5.82,1.37
55,0,3.17,5.82,6.94,7.76,8.89,9.19,8.92,7.9,7.09,6.79,6.79,6.79,1.58
60,0,3.62,6.64,7.32,8.09,9.07,9.48,9.51,8.73,7.6,7.55,7.49,7.55,1.76
65,0,4.08,6.95,7.73,8.53,9.41,9.73,9.95,9.32,8.16,8.14,8.08,8.15,1.9
70,0,4.52,7.15,8.05,8.73,9.7,10.1,10.49,9.93,8.73,8.66,8.62,8.52,1.98
75,0,4.77,7.31,8.34,9,10.09,10.57,10.83,10.61,9.37,9.1,8.89,8.73,1.99
80,0,4.93,7.58,8.73,9.4,10.7,11.17,11.2,10.91,9.9,9.53,9.16,8.84,2.02
85,0,5.05,7.93,9.18,9.83,11.22,11.58,11.55,11.12,10.42,9.76,9.42,8.97,2.02
90,0,5.22,8.28,9.82,10.41,11.54,11.77,11.75,11.4,10.86,10.07,9.7,9.11,2.05
95,0,5.42,8.71,10.51,11.16,11.76,12.02,11.88,11.53,11.22,10.32,9.83,9.34,2.08
100,0,5.65,9.13,10.99,11.64,11.91,12.21,12.07,11.64,11.46,10.55,10.09,9.54,2.13
105,0,5.82,9.43,11.48,11.89,12.13,12.41,12.23,11.82,11.64,10.92,10.33,9.75,2.2
110,0,5.96,9.57,11.72,11.95,12.4,12.61,12.47,12.01,11.82,11.23,10.52,9.93,2.28
115,0,5.95,9.39,11.77,11.97,12.41,12.61,12.64,12.24,12.07,11.55,10.75,10.18,2.36
120,0,5.82,9.02,11.47,11.66,12.06,12.16,12.61,12.42,12.16,11.79,11.02,10.42,2.43
125,0,5.6,8.57,10.88,11.29,11.78,11.84,12.44,12.46,12.35,12,11.38,10.75,2.55
130,0,5.39,8.13,10.34,10.99,11.48,11.64,12.12,12.42,12.52,12.18,11.8,11.16,2.64
135,0,5.07,7.6,9.86,10.81,11.14,11.34,11.85,12.04,12.49,12.34,12.15,11.57,2.74
140,0,4.81,7.14,9.47,10.67,10.82,11.03,11.48,11.73,12.29,12.52,12.29,11.64,2.77
145,0,4.53,6.6,8.73,10.37,10.67,10.85,11.17,11.38,11.93,12.43,12.03,11.48,2.66
150,0,3.97,5.82,7.76,10,10.44,10.67,10.91,11.1,11.57,12.09,11.59,11.08,2.57
155,0,3.46,5.18,6.79,9.6,10.03,10.42,10.67,10.85,11.26,11.64,11.02,10.67,2.45
160,0,3.11,4.65,5.82,8.73,9.61,9.95,10.36,10.67,10.94,11.13,10.53,10.34,2.31
165,0,2.77,4.12,5.1,7.76,8.73,9.46,9.98,10.37,10.72,10.53,10.09,9.91,2.13
170,0,2.41,3.68,4.52,6.79,7.76,8.73,9.5,10.02,10.36,10.05,9.79,9.7,1.89
175,0,2.17,3.14,4.1,5.82,6.58,7.76,8.48,9.52,9.7,9.31,9.27,9.19,1.54
180,0,1.94,2.91,3.88,4.85,5.22,5.82,6.79,7.76,7.94,7.8,7.76,7.34,1.3
