TWA\TWS,0,3,6,9,12,15,18,21,24,27,30,35,40,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0.97,1.94,2.91,2.91,3.88,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0.82
45,0,1.94,3.88,5.75,6.74,7.76,7.88,7.59,6.56,5.91,4.93,4.93,4.93,1.12
50,0,2.75,4.85,6.42,7.46,8.55,8.87,8.34,7.24,6.71,5.91,5.91,5.91,1.42
55,0,3.17,5.82,6.94,7.76,8.89,9.33,9.06,8.02,7.2,6.9,6.9,6.9,1.64
60,0,3.62,6.64,7.32,8.09,9.07,9.62,9.65,8.87,7.72,7.66,7.6,7.66,1.83
65,0,4.08,6.95,7.73,8.53,9.41,9.82,10.11,9.47,8.28,8.26,8.21,8.27,1.98
70,0,4.52,7.15,8.05,8.73,9.7,10.1,10.65,10.09,8.87,8.8,8.76,8.65,2.06
75,0,4.77,7.31,8.34,9,10.09,10.57,10.97,10.78,9.52,9.24,9.02,8.87,2.07
80,0,4.93,7.58,8.73,9.4,10.7,11.17,11.21,11.08,10.06,9.67,9.3,8.97,2.1
85,0,5.05,7.93,9.18,9.83,11.22,11.58,11.55,11.29,10.58,9.91,9.56,9.11,2.1
90,0,5.22,8.28,9.82,10.41,11.54,11.77,11.75,11.49,11.03,10.22,9.85,9.25,2.13
95,0,5.42,8.71,10.51,11.16,11.76,12.02,11.88,11.53,11.4,10.48,9.98,9.49,2.16
100,0,5.65,9.13,10.99,11.64,11.91,12.21,12.07,11.64,11.6,10.72,10.24,9.69,2.21
105,0,5.82,9.43,11.48,11.89,12.13,12.41,12.23,11.82,11.64,11.09,10.49,9.9,2.29
110,0,5.96,9.57,11.72,11.95,12.4,12.61,12.47,12.01,11.82,11.4,10.69,10.09,2.37
115,0,5.95,9.39,11.77,11.97,12.41,12.61,12.64,12.24,12.07,11.63,10.91,10.33,2.45
120,0,5.82,9.02,11.47,11.66,12.06,12.16,12.61,12.42,12.16,11.79,11.19,10.58,2.53
125,0,5.6,8.57,10.88,11.29,11.78,11.84,12.44,12.46,12.35,12,11.55,10.91,2.65
130,0,5.39,8.13,10.34,10.99,11.48,11.82,12.27,12.47,12.52,12.18,11.98,11.33,2.75
135,0,5.07,7.6,9.86,10.81,11.14,11.51,12.04,12.22,12.69,12.53,12.25,11.75,2.85
140,0,4.81,7.14,9.47,10.67,10.82,11.2,11.65,11.91,12.48,12.72,12.48,11.82,2.88
145,0,4.53,6.6,8.73,10.37,10.67,11.02,11.35,11.55,12.12,12.62,12.21,11.66,2.77
150,0,3.97,5.82,7.76,10,10.44,10.84,11.08,11.27,11.75,12.27,11.77,11.25,2.67
155,0,3.46,5.18,6.79,9.6,10.03,10.58,10.84,11.02,11.44,11.82,11.19,10.84,2.55
160,0,3.11,4.65,5.82,8.73,9.61,10.11,10.52,10.84,11.11,11.3,10.7,10.5,2.4
165,0,2.77,4.12,5.1,7.76,8.73,9.6,10.14,10.53,10.88,10.7,10.24,10.07,2.23
170,0,2.41,3.68,4.52,6.79,7.76,8.87,9.64,10.18,10.52,10.2,9.94,9.85,2.01
175,0,2.17,3.14,4.1,5.82,6.58,7.88,8.61,9.66,9.85,9.46,9.42,9.33,1.69
180,0,1.94,2.91,3.88,4.85,5.22,5.91,6.9,7.88,8.07,7.92,7.88,7.46,1.42
