TWA\TWS,0,3,6,9,12,15,18,21,24,27,30,35,40,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,1,2,3,3,4,4,3.88,3.88,3.88,3.88,3.88,3.88,0.79
45,0,2,4,5.93,6.95,8,8,7.48,6.46,5.82,4.85,4.85,4.85,1.08
50,0,2.83,5,6.62,7.69,8.81,9,8.22,7.13,6.61,5.82,5.82,5.82,1.37
55,0,3.27,6,7.15,8,9.17,9.47,8.92,7.9,7.09,6.79,6.79,6.79,1.58
60,0,3.73,6.85,7.55,8.34,9.35,9.77,9.51,8.73,7.6,7.55,7.49,7.55,1.76
65,0,4.18,7.13,7.92,8.74,9.64,9.97,9.95,9.32,8.16,8.14,8.08,8.15,1.9
70,0,4.55,7.19,8.1,8.78,9.76,10.16,10.49,9.93,8.73,8.66,8.62,8.52,1.98
75,0,4.77,7.31,8.34,9,10.09,10.57,10.83,10.61,9.37,9.1,8.89,8.73,1.99
80,0,4.93,7.58,8.73,9.4,10.7,11.17,11.2,10.91,9.9,9.53,9.16,8.84,2.02
85,0,5.05,7.93,9.18,9.83,11.22,11.58,11.55,11.12,10.42,9.76,9.42,8.97,2.02
90,0,5.22,8.28,9.82,10.41,11.54,11.77,11.75,11.4,10.86,10.07,9.7,9.11,2.05
95,0,5.42,8.71,10.51,11.16,11.76,12.02,11.88,11.53,11.22,10.32,9.83,9.34,2.08
100,0,5.65,9.13,10.99,11.64,11.91,12.21,12.07,11.64,11.46,10.55,10.09,9.54,2.13
105,0,5.82,9.43,11.48,11.89,12.13,12.41,12.23,11.82,11.64,10.92,10.33,9.75,2.2
110,0,6.04,9.57,11.72,11.95,12.4,12.61,12.47,12.01,11.82,11.23,10.52,9.93,2.28
115,0,6.13,9.64,11.77,11.97,12.41,12.61,12.64,12.24,12.07,11.55,10.75,10.18,2.36
120,0,6,9.3,11.82,11.82,12.06,12.16,12.61,12.42,12.16,11.79,11.02,10.42,2.43
125,0,5.77,8.84,11.22,11.64,12.09,11.84,12.44,12.46,12.35,12,11.38,10.75,2.55
130,0,5.56,8.38,10.66,11.33,11.84,12,12.12,12.42,12.52,12.18,11.8,11.16,2.64
135,0,5.23,7.84,10.17,11.14,11.48,11.69,11.85,12.04,12.49,12.34,12.15,11.57,2.74
140,0,4.96,7.36,9.76,11,11.15,11.37,11.48,11.73,12.29,12.52,12.29,11.64,2.77
145,0,4.67,6.8,9,10.69,11,11.19,11.17,11.38,11.93,12.43,12.03,11.48,2.66
150,0,4.09,6,8,10.31,10.76,11,10.91,11.1,11.57,12.09,11.59,11.08,2.57
155,0,3.57,5.34,7,9.9,10.34,10.74,10.67,10.85,11.26,11.64,11.02,10.67,2.45
160,0,3.21,4.79,6,9,9.91,10.26,10.36,10.67,10.94,11.13,10.53,10.34,2.31
165,0,2.86,4.25,5.26,8,9,9.75,9.98,10.37,10.72,10.53,10.09,9.91,2.13
170,0,2.48,3.79,4.66,7,8,9,9.5,10.02,10.36,10.05,9.79,9.7,1.89
175,0,2.24,3.24,4.23,6,6.78,8,8.48,9.52,9.7,9.31,9.27,9.19,1.54
180,0,2,3,4,5,5.38,6,6.79,7.76,7.94,7.8,7.76,7.34,1.3
