TWA\TWS,0,6,8,10,12,14,16,18,20,22,24,26,28,30,40,50,60
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0.95,1.9,2.38,2.85,1.9,3.8,3.8,4,3,6,6,6,6,4,2.667,1.334
30,0,1.9,3.8,4.27,5.7,5.7,7.13,7.6,8,6,10,10,10,10,7,4.667,2.334
40,0,3.8,6.18,6.98,9.12,10.45,11.88,13.3,13,13,15,15,15,15,10.4,6.933,3.467
45,0,5.23,7.6,8.84,11.88,13.3,15.2,17.1,17,16.9,18,18,18,18,12.8,8.533,4.267
50,0,6.56,9.5,11.5,14.35,16.53,18.72,19.95,21.3,21.5,21.7,21.7,21.8,21.7,15.1,10.067,5.034
53,0,7.22,10.26,12.44,15.39,17.76,19.95,21.38,22.9,23.1,23.3,23.4,23.5,23.4,16.2,10.8,5.4
56,0,7.89,11.21,13.49,16.43,18.81,21.09,22.71,24.4,24.7,24.9,25,25.2,25.2,17.3,11.533,5.767
59,0,8.65,12.07,14.25,17.29,19.67,22.04,23.85,25.9,26.4,26.5,26.8,26.9,27,18.2,12.133,6.067
60,0,8.9,12.23,14.44,17.51,19.92,22.33,24.16,26.37,26.97,27.03,27.37,27.5,27.57,18.43,12.287,6.144
62,0,9.4,12.54,14.82,17.95,20.41,22.9,24.77,27.27,28.1,28.07,28.47,28.7,28.7,18.9,12.6,6.3
65,0,9.69,13.01,15.3,18.62,21.19,23.65,25.75,28.7,29.7,29.52,30.02,30.5,30.5,19.6,13.067,6.534
70,0,10.16,13.49,15.96,19.57,22.42,25.08,27.36,30.8,32.1,32.2,33.1,33.5,33.4,20.6,13.733,6.867
80,0,10.64,13.96,17.01,20.9,25.17,28.12,30.21,32.49,35.7,36.3,37.9,38.8,38.8,22,14.667,7.334
90,0,10.93,14.35,17.76,22.04,27.17,30.97,32.97,34.96,36.1,37.43,38.95,39.99,40.09,23.2,15.4,7.7
100,0,11.11,14.54,18.15,22.42,27.84,32.4,34.39,36.48,37.43,39.05,40.28,41.04,41.42,22.5,15.8,7.9
110,0,11.11,14.54,18.15,22.23,27.93,32.68,34.77,38.2,39,40,41,41.2,41.5,22.5,15.6,7.8
120,0,10.83,13.96,17.58,21.95,27.36,32.4,34.39,38.5,39.8,41,41.9,41.9,42,22.8,15.5,7.7
125,0,9.98,13.49,17.01,21.57,26.6,31.54,33.82,38.2,39.7,40.6,41.5,41.7,42.1,22.7,15.133,7.567
130,0,8.74,11.88,15.68,20.62,25.75,30.4,33.25,37.7,39.5,40.2,40.8,41.1,41.3,21.7,14.467,7.234
135,0,7.69,10.45,13.87,18.52,23.65,28.31,31.54,36.7,38.4,39.5,39.8,40,40.1,19.5,13,6.5
140,0,6.84,9.12,11.97,16.43,21.19,25.84,28.79,33.7,35.6,37.2,37.8,38,38.3,17.3,11.533,5.767
145,0,6.08,7.89,10.26,14.25,18.72,23.47,26.22,30.8,32.6,34.3,35,35.2,35.5,15,10,5
150,0,5.42,6.84,8.74,12.35,16.34,21.38,23.94,28,29.7,31.4,32.1,32.5,32.9,13,8.667,4.334
155,0,4.56,3.27,6.65,9.98,13.3,17.58,19,22,25,26,27,28,29,10.4,6.933,3.467
160,0,3.8,2.77,5.42,8.17,10.45,14.25,15.2,17.8,20,21,22,23,24,8.7,5.8,2.9
170,0,2.47,2.36,3.8,5.7,5.7,9.5,9.5,11,12,12,13,14,15,6.1,4.067,2.034
180,0,1.74,2,2.84,4.15,2.85,6.38,6.38,6.72,6.72,6.72,6.72,6.72,8,4.37,2.913,1.456
