TWA\TWS,0,6,8,10,12,14,16,18,20,22,24,26,28,30,40,50,60
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,1,2,2.5,3,2,4,4,3.8,2.85,5.7,5.7,5.7,5.7,3.8,2.49,1.23
30,0,2,4,4.5,6,6,7.5,8,7.6,5.7,9.5,9.5,9.5,9.5,6.65,4.36,2.14
40,0,4,6.5,7.35,9.6,11,12.5,14,12.35,12.35,14.25,14.25,14.25,14.25,9.88,6.48,3.18
45,0,5.5,8,9.3,12.5,14,16,18,16.15,16.05,17.1,17.1,17.1,17.1,12.16,7.97,3.92
50,0,6.9,10,12.1,15.1,17.4,19.7,21,20.6,20.43,20.62,20.62,20.71,20.62,14.35,9.4,4.62
53,0,7.6,10.8,13.1,16.2,18.7,21,22.5,22.5,21.95,22.14,22.23,22.33,22.23,15.39,10.09,4.96
56,0,8.3,11.8,14.2,17.3,19.8,22.2,23.9,24,23.47,23.65,23.75,23.94,23.94,16.43,10.77,5.3
59,0,9.1,12.7,15,18.2,20.7,23.2,25.1,25.32,25.08,25.17,25.46,25.55,25.65,17.29,11.33,5.57
60,0,9.37,12.87,15.2,18.43,20.97,23.5,25.43,25.89,25.62,25.68,26,26.13,26.19,17.51,11.48,5.64
62,0,9.9,13.2,15.6,18.9,21.48,24.1,26.07,26.73,26.7,26.67,27.05,27.26,27.26,17.95,11.77,5.79
65,0,10.14,13.7,16.1,19.6,22.3,24.9,27.1,28.24,28.21,28.04,28.52,28.98,28.98,18.62,12.21,6
70,0,10.44,13.86,16.4,20.6,23.6,26.4,28.8,30.5,30.5,30.59,31.45,31.83,31.73,19.57,12.83,6.31
80,0,10.64,13.96,17.01,20.9,25.17,28.12,30.21,32.49,33.92,34.48,36,36.86,36.86,20.9,13.7,6.74
90,0,10.93,14.35,17.76,22.04,27.17,30.97,32.97,34.96,36.1,37.43,38.95,39.99,40.09,22.04,14.39,7.07
100,0,11.11,14.54,18.15,22.42,27.84,32.4,34.39,36.48,37.43,39.05,40.28,41.04,41.42,22.42,14.76,7.25
110,0,11.7,15.3,19.1,23.4,29.4,34.4,36.6,37.3,37.81,39.33,40.47,40.66,41.33,22.23,14.57,7.16
120,0,11.4,14.7,18.5,23.1,28.8,34.1,36.2,37.74,37.81,38.95,39.81,39.81,40.47,21.95,14.48,7.07
125,0,10.5,14.2,17.9,22.7,28,33.2,35.6,37.43,37.72,38.57,39.42,39.62,39.99,21.57,14.14,6.95
130,0,9.2,12.5,16.5,21.7,27.1,32,35,36.95,37.53,38.19,38.76,39.05,39.23,20.62,13.51,6.64
135,0,8.1,11,14.6,19.5,24.9,29.8,33.2,35.97,36.48,37.53,37.81,38,38.1,18.52,12.14,5.97
140,0,7.2,9.6,12.6,17.3,22.3,27.2,30.3,33.03,33.82,35.34,35.91,36.1,36.39,16.43,10.77,5.3
145,0,6.4,8.3,10.8,15,19.7,24.7,27.6,30.19,30.97,32.58,33.25,33.44,33.73,14.25,9.34,4.59
150,0,5.7,7.2,9.2,13,17.2,22.5,25.2,27.43,28.21,29.83,30.5,30.88,31.25,12.35,8.1,3.98
155,0,4.8,3.44,7,10.5,14,18.5,20,21.56,23.75,24.7,25.65,26.6,27.55,9.88,6.48,3.18
160,0,4,2.92,5.7,8.6,11,15,16,17.43,19,19.95,20.9,21.85,22.8,8.26,5.42,2.66
170,0,2.6,2.48,4,6,6,10,10,10.78,11.4,11.4,12.35,13.3,14.25,5.79,3.71,1.87
180,0,1.83,2.11,2.99,4.37,3,6.72,6.72,6.58,6.38,6.38,6.38,6.38,7.6,4.15,2.58,1.3
