TWA\TWS,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,35,40,50,60,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,2.65,5.15,7.24,8.63,8.77,9.74,10.16,10.31,10.45,10.56,10.7,10.84,10.97,10.97,11.11,11.11,10.88,10.32,8.85,7.66
35,0,3.18,6.4,8.91,10.58,10.73,12.12,12.39,12.67,12.8,13.03,13.16,13.44,13.58,13.58,13.72,13.85,13.58,12.87,11,9.58
40,0,3.9,7.8,10.86,12.8,13.23,14.75,15.17,15.45,15.72,15.91,16.19,16.33,16.46,16.6,16.73,16.87,16.53,15.67,13.39,11.66
45,0,4.31,8.63,11.83,13.65,13.93,15.32,15.87,16.3,16.71,16.73,17,17.15,17.41,17.56,17.69,17.95,17.62,16.69,14.22,12.5
50,0,4.6,9.32,12.52,14.05,14.48,15.87,16.57,16.98,17.4,17.56,17.83,18.1,18.37,18.52,18.92,19.33,18.95,17.96,15.29,13.37
55,0,4.88,10.02,13.24,14.4,15.04,16.57,17.13,17.68,18.1,18.24,18.52,19.07,19.33,19.61,20.02,20.7,20.29,19.24,16.37,14.28
60,0,5.26,10.53,14.07,14.66,15.62,17.18,17.71,18.37,18.71,18.99,19.33,19.75,20.16,20.7,21.12,22.08,21.72,20.53,17.55,15.32
65,0,5.54,10.97,14.5,15.18,16.19,17.77,18.48,19.17,19.6,19.91,20.44,20.98,21.52,22.08,22.63,24,23.51,22.3,19,16.58
70,0,5.83,11.35,14.77,15.73,16.63,18.47,19.04,19.87,20.6,21.35,22,22.21,22.77,23.58,24.13,26.05,25.52,24.21,20.56,17.84
75,0,5.97,11.56,15.06,16.34,17.05,18.76,19.76,20.46,21.45,22.29,23.12,23.51,23.86,24.55,25.38,27.43,26.89,25.49,21.75,18.88
80,0,6.11,11.76,15.2,17.01,17.49,19.04,20.17,21.18,22.17,23.22,23.97,24.79,25.06,25.64,26.6,28.8,28.24,26.76,22.82,19.89
85,0,6.11,11.79,15.35,17.34,18.04,19.42,20.63,21.76,23.02,24.28,25.25,26.36,27.31,27.14,27.97,29.89,29.3,27.78,23.68,20.48
90,0,6.11,11.75,15.35,17.48,18.61,19.84,21.18,22.43,23.87,25.27,26.52,27.78,28.6,29.35,29.21,31,29.88,28.32,24.62,20.88
95,0,5.97,11.56,15.15,17.34,18.9,20.17,21.59,23.17,24.72,26.27,27.37,28.49,29.3,29.84,30.01,31.68,30.11,28.62,24.96,21.2
100,0,5.83,11.34,14.88,17.25,19,20.32,21.88,23.73,25.44,27.12,28.23,29.34,29.88,30.27,30.66,31.82,30.52,29.16,25.37,21.59
105,0,5.62,10.99,14.71,17.23,18.9,20.46,22.02,24.04,25.85,27.57,28.37,29.34,30.01,30.69,31.24,32.09,31.37,29.81,25.79,21.98
110,0,5.41,10.66,14.64,17.23,18.82,20.46,22.17,24.4,26.18,27.89,28.51,29.34,30.01,30.98,31.94,33.55,32.41,30.71,26.32,22.56
115,0,5.14,10.52,14.5,17.05,18.81,20.32,22.31,24.44,26.15,27.82,28.66,29.76,30.71,31.69,32.78,35.11,33.4,31.66,27,23.31
120,0,5.01,10.13,14.17,16.91,18.79,20.17,22.43,24.44,26,27.68,28.94,30.18,31.44,32.53,33.63,36.09,34.42,32.53,27.74,24.03
125,0,4.83,9.53,13.51,16.3,18.38,20.02,22.45,24.44,26,27.68,29.07,30.33,31.71,32.96,34.2,37.08,35.59,33.51,28.57,24.66
130,0,4.58,9.05,12.8,15.59,17.68,19.77,22,24.4,26,27.68,29.22,30.6,32.14,33.37,34.77,37.93,37.1,34.4,29.45,25.54
135,0,4.25,8.28,11.97,14.75,16.85,18.79,21.16,23.5,25.25,27.46,29.48,31.03,32.42,33.8,35.19,39.34,38.48,35.55,30.35,26.35
140,0,3.92,7.66,11.14,13.93,16.15,17.95,20.05,22.83,24.36,27.14,29.28,31.13,32.63,34.09,35.5,40.89,39.99,36.95,31.55,27.06
145,0,3.41,6.95,10.02,12.76,15.04,16.85,18.65,21.02,22.97,25.51,27.7,30.17,32.4,34.29,36.14,40.61,39.93,36.7,31.32,27.2
150,0,3.03,6.12,9.05,11.71,14.07,15.87,17.68,19.5,21.72,24.13,26.88,29.76,32.09,34.14,36.2,40.07,39.27,36.44,31.07,26.97
155,0,2.75,5.57,8.08,10.73,12.8,14.9,16.57,18.24,20.19,22.08,24.55,27.14,29.62,31.68,34.01,38.67,37.91,35.94,30.6,26.64
160,0,2.51,5.14,7.5,9.82,11.97,13.96,15.59,17.27,18.92,20.45,22.63,25.09,27.43,29.76,31.94,37.99,37.24,35.29,30.12,26.17
170,0,2.19,4.6,6.8,8.91,11.14,12.88,14.48,16.15,17.66,18.71,21.12,23.17,25.51,27.57,29.76,35.24,34.55,31.19,27.97,24.23
180,0,2,4.4,6.54,8.65,10.73,12.31,13.93,15.45,16.85,17.99,20.16,22.36,24.41,26.6,28.52,34.01,33.3,26.89,25.72,23.42
