TWA\TWS,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,35,40,50,60,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,2.73,5.31,7.46,8.9,9.04,10.04,10.47,10.63,10.77,10.56,10.7,10.84,10.97,10.97,11.11,11.11,10.88,10.32,8.85,7.66
35,0,3.28,6.6,9.19,10.91,11.06,12.49,12.77,13.06,13.2,13.03,13.16,13.44,13.58,13.58,13.72,13.85,13.58,12.87,11,9.58
40,0,4.02,8.04,11.2,13.2,13.64,15.21,15.64,15.93,16.21,15.91,16.19,16.33,16.46,16.6,16.73,16.87,16.53,15.67,13.39,11.66
45,0,4.44,8.9,12.2,14.07,14.36,15.79,16.36,16.8,17.23,16.73,17,17.15,17.41,17.56,17.69,17.95,17.62,16.69,14.22,12.5
50,0,4.74,9.61,12.91,14.48,14.93,16.36,17.08,17.51,17.94,17.56,17.83,18.1,18.37,18.52,18.92,19.33,18.95,17.96,15.29,13.37
55,0,5.03,10.33,13.64,14.85,15.5,17.08,17.66,18.23,18.66,18.24,18.52,19.07,19.33,19.61,20.02,20.7,20.29,19.24,16.37,14.28
60,0,5.31,10.77,14.21,15.07,15.93,17.53,18.23,18.8,19.29,18.99,19.33,19.75,20.16,20.7,21.12,22.08,21.72,20.53,17.55,15.32
65,0,5.57,11.09,14.55,15.4,16.26,17.97,18.69,19.25,19.98,19.91,20.44,20.98,21.52,22.08,22.63,24,23.51,22.3,19,16.58
70,0,5.74,11.21,14.56,15.4,16.39,18.21,18.77,19.61,20.31,20.83,21.38,22.21,22.77,23.58,24.13,26.05,25.52,24.21,20.56,17.84
75,0,5.79,11.21,14.61,15.85,16.54,18.2,19.17,19.85,20.81,21.62,22.43,23.04,23.86,24.55,25.38,27.43,26.89,25.49,21.75,18.88
80,0,5.93,11.41,14.74,16.5,16.97,18.47,19.56,20.54,21.5,22.52,23.25,24.05,24.83,25.64,26.6,28.8,28.24,26.76,22.82,19.89
85,0,5.93,11.44,14.89,16.82,17.5,18.84,20.01,21.11,22.33,23.55,24.49,25.57,26.49,27.14,27.97,29.89,29.3,27.78,23.68,20.48
90,0,5.93,11.4,14.89,16.96,18.05,19.24,20.54,21.76,23.15,24.51,25.72,26.95,27.74,28.52,29.21,31,29.88,28.32,24.62,20.88
95,0,5.79,11.21,14.7,16.82,18.33,19.56,20.94,22.47,23.98,25.48,26.55,27.64,28.42,28.94,29.34,31.68,30.11,28.62,24.96,21.2
100,0,5.66,11,14.43,16.73,18.43,19.71,21.22,23.02,24.68,26.31,27.38,28.46,28.98,29.36,29.76,31.82,30.52,29.16,25.37,21.59
105,0,5.45,10.66,14.27,16.71,18.33,19.85,21.36,23.32,25.07,26.74,27.52,28.46,29.11,29.77,30.31,32.09,31.37,29.81,25.79,21.98
110,0,5.43,10.45,14.2,16.71,18.26,19.85,21.5,23.67,25.39,27.05,27.65,28.46,29.11,30.05,30.98,33.06,32.41,30.71,26.32,22.56
115,0,5.3,10.63,14.58,16.83,18.25,19.71,21.64,23.71,25.37,26.99,27.8,28.87,29.79,30.74,31.8,34.14,33.4,31.66,27,23.31
120,0,5.17,10.33,14.36,17.08,18.91,20.19,21.76,23.71,25.22,26.85,28.07,29.27,30.5,31.55,32.62,35.1,34.42,32.53,27.74,24.03
125,0,4.98,9.82,13.93,16.65,18.66,20.38,22.67,24.49,25.29,26.85,28.2,29.42,30.76,31.97,33.17,36.07,35.36,33.51,28.57,24.66
130,0,4.72,9.33,13.2,16.07,18.23,20.38,22.68,24.68,26.27,26.85,28.34,29.68,31.18,32.37,33.73,36.89,36.16,34.4,29.45,25.54
135,0,4.38,8.54,12.34,15.21,17.37,19.37,21.81,24.11,25.73,27.03,28.6,30.1,31.45,32.79,34.13,38.16,37.56,35.55,30.35,26.35
140,0,4.04,7.9,11.48,14.36,16.65,18.51,20.67,23.54,25.11,27.14,28.66,30.31,31.68,33.07,35.21,39.77,38.84,36.95,31.55,27.06
145,0,3.52,7.17,10.33,13.15,15.5,17.37,19.23,21.67,23.68,25.51,27.7,30.02,31.94,33.6,35.74,39.5,38.81,36.7,31.32,27.2
150,0,3.12,6.31,9.33,12.07,14.5,16.36,18.23,20.1,22.39,24.13,26.88,29.76,32.09,34.14,36.2,39.23,38.49,36.44,31.07,26.97
155,0,2.83,5.74,8.33,11.06,13.2,15.36,17.08,18.8,20.81,22.08,24.55,27.14,29.62,31.68,34.01,38.66,37.91,35.94,30.6,26.64
160,0,2.59,5.3,7.73,10.12,12.34,14.39,16.07,17.8,19.51,20.45,22.63,25.09,27.43,29.76,31.94,37.99,37.24,35.29,30.12,26.17
170,0,2.26,4.74,7.01,9.19,11.48,13.28,14.93,16.65,18.21,18.71,21.12,23.17,25.51,27.57,29.76,35.24,34.55,31.19,27.97,24.23
180,0,2.06,4.54,6.74,8.92,11.06,12.69,14.36,15.93,17.37,17.99,20.16,22.36,24.41,26.6,28.52,34.01,33.3,26.89,25.72,23.42
