TWA\TWS,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,35,40,50,60,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,2.65,5.15,7.24,8.63,8.77,9.74,10.16,10.31,10.45,10.56,10.7,10.84,10.97,10.97,11.11,11.11,10.88,10.32,8.85,7.66
35,0,3.18,6.4,8.91,10.58,10.73,12.12,12.39,12.67,12.8,13.03,13.16,13.44,13.58,13.58,13.72,13.85,13.58,12.87,11,9.58
40,0,3.9,7.8,10.86,12.8,13.23,14.75,15.17,15.45,15.72,15.91,16.19,16.33,16.46,16.6,16.73,16.87,16.53,15.67,13.39,11.66
45,0,4.31,8.63,11.83,13.65,13.93,15.32,15.87,16.3,16.71,16.73,17,17.15,17.41,17.56,17.69,17.95,17.62,16.69,14.22,12.5
50,0,4.6,9.32,12.52,14.05,14.48,15.87,16.57,16.98,17.4,17.56,17.83,18.1,18.37,18.52,18.92,19.33,18.95,17.96,15.29,13.37
55,0,4.88,10.02,13.23,14.4,15.04,16.57,17.13,17.68,18.1,18.24,18.52,19.07,19.33,19.61,20.02,20.7,20.29,19.24,16.37,14.28
60,0,5.15,10.45,13.78,14.62,15.45,17,17.68,18.24,18.71,18.99,19.33,19.75,20.16,20.7,21.12,22.08,21.72,20.53,17.55,15.32
65,0,5.4,10.76,14.11,14.94,15.77,17.43,18.13,18.67,19.38,19.91,20.44,20.98,21.52,22.08,22.63,24,23.51,22.3,19,16.58
70,0,5.66,11.01,14.33,15.26,16.13,17.92,18.47,19.27,19.98,20.83,21.38,22.21,22.77,23.58,24.13,26.05,25.52,24.21,20.56,17.84
75,0,5.79,11.21,14.61,15.85,16.54,18.2,19.17,19.85,20.81,21.62,22.43,23.04,23.86,24.55,25.38,27.43,26.89,25.49,21.75,18.88
80,0,5.93,11.41,14.74,16.5,16.97,18.47,19.56,20.54,21.5,22.52,23.25,24.05,24.83,25.64,26.6,28.8,28.24,26.76,22.82,19.89
85,0,5.93,11.44,14.89,16.82,17.5,18.84,20.01,21.11,22.33,23.55,24.49,25.57,26.49,27.14,27.97,29.89,29.3,27.78,23.68,20.48
90,0,5.93,11.4,14.89,16.96,18.05,19.24,20.54,21.76,23.15,24.51,25.72,26.95,27.74,28.52,29.21,31,29.88,28.32,24.62,20.88
95,0,5.79,11.21,14.7,16.82,18.33,19.56,20.94,22.47,23.98,25.48,26.55,27.64,28.42,28.94,29.34,31.68,30.11,28.62,24.96,21.2
100,0,5.66,11,14.43,16.73,18.43,19.71,21.22,23.02,24.68,26.31,27.38,28.46,28.98,29.36,29.76,31.82,30.52,29.16,25.37,21.59
105,0,5.45,10.66,14.27,16.71,18.33,19.85,21.36,23.32,25.07,26.74,27.52,28.46,29.11,29.77,30.31,32.09,31.37,29.81,25.79,21.98
110,0,5.27,10.34,14.2,16.71,18.26,19.85,21.5,23.67,25.39,27.05,27.65,28.46,29.11,30.05,30.98,33.06,32.41,30.71,26.32,22.56
115,0,5.14,10.31,14.14,16.54,18.25,19.71,21.64,23.71,25.37,26.99,27.8,28.87,29.79,30.74,31.8,34.14,33.4,31.66,27,23.31
120,0,5.01,10.02,13.93,16.57,18.34,19.58,21.76,23.71,25.22,26.85,28.07,29.27,30.5,31.55,32.62,35.1,34.42,32.53,27.74,24.03
125,0,4.83,9.53,13.51,16.15,18.1,19.77,21.99,23.76,25.22,26.85,28.2,29.42,30.76,31.97,33.17,36.07,35.36,33.51,28.57,24.66
130,0,4.58,9.05,12.8,15.59,17.68,19.77,22,23.94,25.48,26.85,28.34,29.68,31.18,32.37,33.73,36.89,36.16,34.4,29.45,25.54
135,0,4.25,8.28,11.97,14.75,16.85,18.79,21.16,23.39,24.96,27.03,28.6,30.1,31.45,32.79,34.13,38.16,37.56,35.55,30.35,26.35
140,0,3.92,7.66,11.14,13.93,16.15,17.95,20.05,22.83,24.36,27.14,28.66,30.31,31.68,33.07,35.21,39.77,38.84,36.95,31.55,27.06
145,0,3.41,6.95,10.02,12.76,15.04,16.85,18.65,21.02,22.97,25.51,27.7,30.02,31.94,33.6,35.74,39.5,38.81,36.7,31.32,27.2
150,0,3.03,6.12,9.05,11.71,14.07,15.87,17.68,19.5,21.72,24.13,26.88,29.76,32.09,34.14,36.2,39.23,38.49,36.44,31.07,26.97
155,0,2.75,5.57,8.08,10.73,12.8,14.9,16.57,18.24,20.19,22.08,24.55,27.14,29.62,31.68,34.01,38.66,37.91,35.94,30.6,26.64
160,0,2.51,5.14,7.5,9.82,11.97,13.96,15.59,17.27,18.92,20.45,22.63,25.09,27.43,29.76,31.94,37.99,37.24,35.29,30.12,26.17
170,0,2.19,4.6,6.8,8.91,11.14,12.88,14.48,16.15,17.66,18.71,21.12,23.17,25.51,27.57,29.76,35.24,34.55,31.19,27.97,24.23
180,0,2,4.4,6.54,8.65,10.73,12.31,13.93,15.45,16.85,17.99,20.16,22.36,24.41,26.6,28.52,34.01,33.3,26.89,25.72,23.42
