TWA\TWS,0,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,35,40,60,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0.33,0.44,0.52,0.37,0.38,0.35,0.43,0.45,0.66,0.69,0.7,0.71,0.73,0.75,0.79,0.78,0.76,0.66,0.53,0.78,0.79,0.7,0.69,0.54,0.53,0.59,0.61,0.64,0.65,0.5,0.3
16,0,1.36,1.82,2.15,1.75,1.82,1.65,1.7,1.63,2.3,2.4,2.46,2.51,2.57,2.63,2.77,2.73,2.66,2.36,1.94,2.71,2.75,2.48,2.44,1.98,1.95,2.12,2.2,2.29,2.32,1.32,1.09
24,0,2.29,3.07,3.63,3.7,3.84,3.5,3.71,3.69,4.49,4.69,4.8,4.89,5.01,5.13,5.37,5.28,5.18,4.69,3.96,5.29,5.38,4.94,4.86,4.05,3.99,4.31,4.45,4.64,4.65,2.79,2.17
32,0,3.18,4.25,5.03,5.55,5.76,5.25,5.62,5.75,6.76,7.07,7.23,7.36,7.55,7.73,8,7.8,7.8,7.28,6.34,7.95,8.1,7.66,7.55,6.55,6.44,6.88,7.11,7.34,7.26,4.54,3.4
40,0,4.48,5.76,6.65,7.21,7.49,6.82,7.37,7.78,8.53,8.91,9.12,9.28,9.52,9.75,9.83,9.67,9.84,9.61,8.87,10.02,10.21,10.13,9.98,9.22,9.07,9.53,9.85,10.06,9.74,6.41,4.55
41,0,4.64,5.93,6.82,7.36,7.62,7.08,7.56,8.01,8.67,9.06,9.27,9.44,9.68,9.91,10.02,9.87,9.99,9.86,9.18,10.19,10.39,10.39,10.23,9.54,9.39,9.85,10.17,10.38,10,6.73,4.68
44,0,5.12,6.4,7.19,7.63,7.98,7.86,8.32,8.64,9.18,9.47,9.66,9.83,10.1,10.34,10.45,10.32,10.43,10.49,10.06,10.64,10.83,11.05,10.87,10.51,10.35,10.74,11.1,11.26,10.71,7.46,5.01
45,0,5.27,6.58,7.29,7.73,8.11,8.12,8.57,8.89,9.35,9.58,9.81,9.99,10.22,10.5,10.61,10.43,10.54,10.62,10.34,10.81,11,11.19,11.07,10.83,10.65,11.02,11.38,11.53,10.89,7.66,5.1
46,0,5.42,6.69,7.39,7.82,8.25,8.38,8.81,9.15,9.51,9.69,9.93,10.11,10.34,10.68,10.8,10.6,10.67,10.78,10.61,10.99,11.17,11.36,11.23,11.14,10.95,11.28,11.66,11.79,11.07,7.81,5.17
47,0,5.56,6.77,7.47,7.9,8.4,8.63,9.05,9.39,9.66,9.86,10.05,10.22,10.46,10.82,10.91,10.72,10.79,10.92,10.87,11.14,11.32,11.51,11.42,11.43,11.24,11.54,11.91,12.01,11.17,7.95,5.23
48,0,5.7,6.83,7.56,7.98,8.55,8.88,9.28,9.62,9.81,9.97,10.16,10.34,10.57,10.96,11.03,10.83,10.91,11.06,11.13,11.27,11.47,11.65,11.62,11.72,11.52,11.89,12.16,12.19,11.28,8.1,5.28
49,0,5.83,6.88,7.64,8.06,8.72,9.12,9.49,9.85,9.99,10.13,10.27,10.45,10.68,11.09,11.15,10.95,11.03,11.17,11.36,11.42,11.61,11.79,11.83,11.99,11.8,12.12,12.36,12.32,11.37,8.28,5.32
50,0,5.95,6.94,7.72,8.14,8.9,9.36,9.66,10.06,10.16,10.27,10.4,10.56,10.79,11.22,11.26,11.05,11.15,11.3,11.5,11.56,11.76,11.92,12,12.13,11.93,12.31,12.57,12.44,11.55,8.41,5.4
51,0,6.03,6.99,7.82,8.21,9.02,9.6,9.83,10.2,10.29,10.41,10.53,10.7,10.91,11.35,11.41,11.22,11.24,11.48,11.7,11.72,11.91,12.09,12.18,12.37,12.13,12.48,12.82,12.57,11.67,8.52,5.46
53,0,6.19,7.1,7.97,8.37,9.25,9.79,10.01,10.36,10.49,10.63,10.77,10.95,11.13,11.61,11.62,11.49,11.5,11.71,11.89,12.02,12.2,12.36,12.49,12.65,12.46,12.79,13.1,12.85,11.86,8.67,5.56
54,0,6.28,7.145,8.06,8.44,9.36,9.87,10.09,10.42,10.59,10.73,10.9,11.07,11.24,11.75,11.75,11.59,11.65,11.84,12.05,12.18,12.37,12.51,12.67,12.83,12.66,12.98,13.31,13.05,11.96,8.8,5.62
55,0,6.35,7.2,8.13,8.52,9.46,9.94,10.17,10.53,10.71,10.84,11.01,11.18,11.37,11.89,11.89,11.74,11.79,12,12.2,12.36,12.54,12.69,12.86,13.03,12.86,13.17,13.51,13.18,12.13,8.94,5.68
60,0,6.59,7.46,8.44,8.9,9.79,10.31,10.59,11.02,11.22,11.41,11.66,11.89,12.19,12.68,12.79,12.6,12.78,13.04,13.26,13.48,13.7,13.88,14.07,14.28,14.24,14.53,14.79,14.36,13.17,9.63,6.05
